,index,balance
0,0,999630.1206054688
1,1,996497.3600997925
2,2,990771.2779541016
3,3,987544.3857421875
4,4,989429.4365234375
5,5,993886.987121582
6,6,978414.0400390625
7,7,992299.9736938477
8,8,969613.4681396484
9,9,970207.0849094391
10,10,952358.1384620667
11,11,955467.6837382317
12,12,965401.514421463
13,13,949487.5595254898
14,14,964153.11373806
15,15,946044.3865880966
16,16,948827.3131217957
17,17,969623.6044769287
18,18,968067.5376873016
19,19,947380.5133228302
20,20,959523.15122509
21,21,964478.2913122177
22,22,955920.3055782318
23,23,945535.5743770599
24,24,945782.1715631485
25,25,940053.1097345352
26,26,930472.8828144073
27,27,948054.8001117706
28,28,957472.1776752472
29,29,969914.595946312
30,30,965012.8098745346
31,31,964600.7773427963
32,32,973962.2915029526
33,33,961779.6999502182
34,34,965109.931517601
35,35,973448.6051015854
36,36,971531.219420433
37,37,965185.3579702377
38,38,987685.6875491142
39,39,991490.8235354424
40,40,994402.1606326103
41,41,996937.5930056572
42,42,1003545.0791549683
43,43,997399.2553634644
44,44,997191.7808761597
45,45,996979.6457443237
46,46,1006158.9957199097
47,47,1007582.1525192261
48,48,1008628.94506073
49,49,1011468.5090255737
50,50,1019297.5472335815
51,51,1026490.3596076965
52,52,1024309.9453086853
53,53,1022580.6336669922
54,54,1019634.2722244263
55,55,1018795.2897005081
56,56,1020421.0719270706
57,57,1027563.3463411331
58,58,1032906.0113801956
59,59,1032074.9566926956
60,60,1037675.6041536331
61,61,1038372.1803255081
62,62,1038372.1653785794
63,0,1031906.6071385145
64,1,1016260.3084011078
65,2,1019879.8007202148
66,3,1019780.1124396324
67,4,1028422.2552609444
68,5,1038581.7994308472
69,6,1040286.1797351837
70,7,1038163.7437038422
71,8,1042429.9418888092
72,9,1047720.8147621155
73,10,1044090.6477890015
74,11,1031878.7147693634
75,12,1035906.4504299164
76,13,1036215.6216011047
77,14,1037237.2581256032
78,15,1041212.2035217285
79,16,1033465.5322151184
80,17,1028881.4410848618
81,18,1037422.9439592361
82,19,1034203.0041055679
83,20,1030849.238366127
84,21,1031112.9244763851
85,22,1032254.4320054054
86,23,1033087.15001297
87,24,1043024.7154521942
88,25,1033743.3266716003
89,26,1035738.2008934021
90,27,1024548.3756980896
91,28,1031287.3482551575
92,29,1016793.8188676834
93,30,1012402.3007178307
94,31,1006622.0732833967
95,32,1008954.3789474592
96,33,1010737.4608435631
97,34,1023313.36632061
98,35,1027966.6597681046
99,36,1024029.7164087296
100,37,1025025.754611969
101,38,1021802.647190094
102,39,1024568.0910692215
103,40,1026804.1203660965
104,41,1029252.992436409
105,42,1034365.318608284
106,43,1037075.4172410965
107,44,1039906.488530159
108,45,1037163.4221992493
109,46,1039017.4388008118
110,47,1035914.3421211243
111,48,1034506.3488502502
112,49,1030913.9830055237
113,50,1037477.2304420471
114,51,1034022.2300524712
115,52,1041601.39960289
116,53,1042482.7342128754
117,54,1039381.8865566254
118,55,1053206.2830410004
119,56,1021099.0017910004
120,57,1003788.0994472504
121,58,1016775.1424160004
122,59,1034668.9596061707
123,60,1048424.9770927429
124,61,1049526.136100769
125,62,1049502.3855590564
126,0,1043996.9851207733
127,1,1040539.1829929352
128,2,1053958.2348556519
129,3,1058627.1517410278
130,4,1062394.763915062
131,5,1064585.1367645264
132,6,1075477.4291324615
133,7,1073783.7217050195
134,8,1075110.4568858147
135,9,1077375.0644907951
136,10,1079698.9961562157
137,11,1075066.1472988129
138,12,1078072.945760727
139,13,1075519.8843297958
140,14,1063620.3021764755
141,15,1055833.8473424911
142,16,1054564.5198278427
143,17,1053345.1533727646
144,18,1053631.2588415146
145,19,1050446.559012413
146,20,1051480.5419225693
147,21,1051014.9891271591
148,22,1056961.7935519218
149,23,1055278.7301826477
150,24,1054946.2509346008
151,25,1058863.5277900696
152,26,1067076.492658496
153,27,1064512.147470355
154,28,1066818.1601781845
155,29,1059113.2029333115
156,30,1059625.7819128036
157,31,1058514.0736169815
158,32,1057626.6400556564
159,33,1056684.8769292831
160,34,1059643.7488508224
161,35,1056050.2881307602
162,36,1054760.824297905
163,37,1049983.069384575
164,38,1057689.9334859848
165,39,1055196.920718193
166,40,1053540.2632932663
167,41,1056933.1801786423
168,42,1062633.2395467758
169,43,1061602.8841924667
170,44,1061202.9813451767
171,45,1063048.5262947083
172,46,1039924.2703132629
173,47,1051769.1640357971
174,48,1036755.5226860046
175,49,1033894.3044347763
176,50,1040514.1921644211
177,51,1034067.6127309799
178,52,1036413.3683614731
179,53,1039717.7001600266
180,54,1046899.1796445847
181,55,1053235.1153669357
182,56,1045078.3443059921
183,57,1033888.490729332
184,58,1040002.3979735374
185,59,1038702.7314271927
186,60,1027641.2805671692
187,61,1035674.47032547
188,62,1035674.4805684957
189,0,1021854.3322019577
190,1,1025689.5934288502
191,2,1027065.1764907837
192,3,1023520.6853942871
193,4,1025748.1761693954
194,5,1015922.3608455658
195,6,1016962.6882286072
196,7,1015371.0342187881
197,8,1017928.6036453247
198,9,1013936.3318047523
199,10,1017771.4476146698
200,11,1016481.4455595016
201,12,1023371.7625408173
202,13,1024745.3387947083
203,14,1033543.8109035492
204,15,1030240.2563724518
205,16,1029979.7934055328
206,17,1027386.1634788513
207,18,1022337.3920249939
208,19,1024289.7323203087
209,20,1017358.2593970299
210,21,1012818.8899536133
211,22,1005201.159785986
212,23,999695.980184555
213,24,1017582.0663022995
214,25,1016288.8496923447
215,26,1028412.7363166809
216,27,1025272.4935722351
217,28,1030289.6556224823
218,29,1027207.1356987953
219,30,1032349.6953105927
220,31,1036158.6619186401
221,32,1040349.7895846367
222,33,1038192.8462252617
223,34,1048672.0400047302
224,35,1051296.8352928162
225,36,1050992.6017723083
226,37,1054546.6237449646
