index,balance a2c,balance ppo,balance td3
20160104,999152.3176,999671.0413,999232.9263
20160105,995867.8728,996108.1001,994048.4102
20160106,989661.8145,990235.7263,983785.2568
20160107,986617.5879,987644.5203,979180.6523
20160108,989459.9387,987540.0148,982554.0625
20160111,994690.346,987971.843,985743.7852
20160112,978426.031,981185.5118,962448.8085
20160113,991960.9396,987677.149,973673.0957
20160114,968528.3599,978100.4895,951438.707
20160115,969785.7837,975771.0777,951043.9765
20160119,952234.2923,967660.9289,934385.3632
20160120,955529.3604,973024.4736,939280.2246
20160121,965873.0095,978780.9019,957366.374
20160122,949446.9976,970122.8181,943344.955
20160125,964337.7642,981048.7954,958825.5839
20160126,946435.605,969978.6514,950114.9082
20160127,949150.6696,971324.8834,956386.2363
20160128,970174.2101,982741.47,981572.3242
20160129,969204.0625,982146.75,980590.75
20160201,969204.0625,982146.75,980590.75
20160202,969204.0625,982146.75,980590.75
20160203,969204.0625,982146.75,980590.75
20160204,969204.0625,982146.75,980590.75
20160205,969204.0625,982146.75,980590.75
20160208,969204.0625,982146.75,980590.75
20160209,969204.0625,982146.75,980590.75
20160210,968231,980618.2427,978095.4063
20160211,971680.3398,982289.0941,984249.4512
20160212,971480.9375,982170.375,983951.1875
20160216,973099.689,983287.7079,986024.2534
20160217,971937.2983,982982.6795,985495.0439
20160218,970786.505,982354.9425,985171.0488
20160219,975390.0454,984522.4116,992694.1855
20160222,969896.3152,981907.0392,984059.2188
20160223,971242.2986,982982.3484,989714.1016
20160224,977462.8618,986676.9209,1003963.877
20160225,976866.665,986508.783,1000222.288
20160226,973043.2046,984818.9837,992700.7331
20160229,994319.1046,992216.6574,1013972.659
20160301,995524.5851,992049.2008,1014984.284
20160302,997949.0023,994866.5866,1017631.016
20160303,1001945.473,996303.8408,1021171.022
20160304,1006436.884,998026.234,1018938.743
20160307,1000786.055,994491.2375,1013626.835
20160308,1001373.799,996944.2025,1016257.555
20160309,1001723.747,996640.8645,1015120.405
20160310,1012659.646,1006939.528,1030059.026
20160311,1015450.406,1007044.116,1028644.917
20160314,1016350.382,1006225.824,1030347.481
20160315,1019462.843,1009497.388,1035492.688
20160316,1028579.296,1018380.249,1045461.089
20160317,1038081.361,1026808.11,1051213.208
20160318,1036684.943,1026249.245,1051228.665
20160321,1034349.557,1020829.762,1047653.899
20160322,1030382.734,1014716.464,1045047.926
20160323,1029308.644,1015815.811,1046739.051
20160324,1030552.359,1018716.281,1049200.573
20160328,1037806.33,1022099.826,1055462.3
20160329,1043545.123,1024295.426,1062119.622
20160330,1042236.023,1024876.219,1061571.96
20160331,1048366.09,1032759.323,1071718.218
20160401,1049131.263,1027314.856,1069674.344
20160405,1043199.903,1023192.632,1065503.886
20160406,1028952.05,1008449.148,1053518.355
20160407,1032115.185,1012922.103,1055485.164
20160408,1031363.828,1013611.986,1054472.798
20160411,1039714.004,1024883.138,1063191.22
20160412,1047599.604,1038381.812,1072015.216
