index,balance 1,balance 2,balance 3,balance 4,balance 5
20160104,980495.6667,968744.0273,985854.0721,961110.0264,960452.2193
20160105,966791.563,954801.5947,968683.4787,943048.4114,942232.8088
20160106,947167.3082,935727.0283,942401.6558,921610.9579,922289.6055
20160107,940359.4498,928887.9805,933701.0537,912808.4965,914385.0445
20160108,943497.9746,930560.7935,932872.2397,913547.6483,916499.33
20160111,945920.8588,932436.3247,938006.0607,920073.2107,921920.8545
20160112,926469.7909,910931.999,917830.936,899102.7552,899997.2711
20160113,938670.3196,922309.2676,934029.6399,915167.495,916244.5744
20160114,917031.8066,900627.5075,912842.9536,893327.089,891863.9569
20160115,915057.7724,898256.5109,912959.9912,892633.794,893309.7121
20160119,899082.4287,881946.5854,894098.9315,874903.2119,878004.152
20160120,904151.2372,887204.3147,901600.177,883624.9532,880111.5208
20160121,919624.8808,904463.1326,919202.6121,900835.6172,891936.4756
20160122,907154.7314,890064.5862,903390.9949,881932.2086,872030.4009
20160125,926120.956,906834.8298,923354.6862,899673.3453,892113.9738
20160126,919526.1025,899320.1374,899530.5872,879303.6131,883055.1767
20160127,926266.8144,906174.4026,912773.971,891889.7528,888500.3007
20160128,949401.2031,927822.8967,928735.4764,910615.7749,909134.8254
20160129,948451.8125,926895.0625,927806.75,909705.1875,908225.6875
20160201,948451.8125,926895.0625,927806.75,909705.1875,908225.6875
20160202,948451.8125,926895.0625,927806.75,909705.1875,908225.6875
20160203,948451.8125,926895.0625,927806.75,909705.1875,908225.6875
20160204,948451.8125,926895.0625,927806.75,909705.1875,908225.6875
20160205,948451.8125,926895.0625,927806.75,909705.1875,908225.6875
20160208,948451.8125,926895.0625,927806.75,909705.1875,908225.6875
20160209,948451.8125,926895.0625,927806.75,909705.1875,908225.6875
20160210,945956.4063,924399.7188,925949.9316,909314.9348,906298.3921
20160211,952110.5137,930553.7637,927355.2694,911117.0853,909749.1128
20160212,951812.25,930255.5,927263.8125,910978.5625,909552.0625
20160216,953885.3159,932328.5659,928646.5077,912425.1757,911317.8326
20160217,953356.1064,931799.3564,928233.112,913339.8939,910726.4573
20160218,953032.0801,931475.3613,927336.605,913362.4794,909458.3169
20160219,960555.248,938998.5293,930393.9074,915514.1419,914229.3765
20160222,951920.2656,930363.5469,924969.452,913053.7659,908104.8564
20160223,957575.1563,936018.4277,926415.2907,913695.2496,909945.9722
20160224,971435.5486,949499.0585,930900.4721,917401.4457,916440.9912
20160225,967854.8376,945644.453,930263.5615,916570.9839,915579.2632
20160226,960673.904,938542.0077,928127.8589,914373.4779,911454.5151
20160229,981216.3259,958395.83,937944.9033,920501.1049,932768.6643
20160301,982097.654,959429.4374,937832.2823,919952.2111,934087.4851
20160302,984432.1228,961720.4218,938673.4092,921064.5694,936877.1344
20160303,988013.2282,965028.8632,940218.9878,922093.4728,940819.6587
20160304,985599.4138,962829.539,941416.8433,923887.2698,944985.8269
20160307,980534.3845,958212.3476,938818.7279,922518.7018,939082.9831
20160308,983213.1462,960877.8964,939270.3164,924209.2568,939339.0026
20160309,982047.0603,959649.5077,939327.8581,923233.061,939787.1992
20160310,996378.9431,973388.9433,948481.0891,930018.7722,949925.4937
20160311,994916.3298,972053.1523,947409.1176,929978.4581,951782.2859
20160314,996600.1462,973827.4726,947108.9595,929586.2655,952696.8818
20160315,1001598.041,978741.2616,949834.5395,933019.7196,955054.9295
20160316,1011196.31,988003.1776,957533.9622,939580.8207,963372.836
20160317,1016634.861,993152.6073,966076.7623,946516.1501,972257.425
20160318,1016625.179,993241.203,965401.0301,946670.7314,970277.2972
20160321,1013255.974,990047.1913,960363.6152,943687.1786,967994.6473
20160322,1010926.088,987759.0292,955115.6611,939644.7793,965202.9882
20160323,1012433.152,989267.7812,956351.8299,939143.3823,963707.6153
20160324,1014746.674,991474.789,958275.8471,940570.3728,965415.4644
20160328,1020724.416,997523.1015,961323.4596,943341.1168,972331.8843
20160329,1027285.058,1003897.293,963077.2817,946559.0935,978420.0598
20160330,1026447.468,1003224.846,962162.8804,944430.6165,977158.9401
20160331,1036201.5,1012761.644,968278.6057,952674.9999,983841.7233
20160401,1034312.418,1011000.773,964262.7362,950037.7964,984015.0954
20160405,1030436.148,1007653.22,959975.2195,947678.5566,977333.4002
20160406,1019152.093,996678.7734,946610.4344,935300.091,962494.0899
20160407,1020823.503,998142.8225,950068.0092,938742.3553,965376.2111
20160408,1018967.756,996282.1036,949406.9093,937982.7331,965153.2477
20160411,1027011.23,1004043.424,958391.6221,947705.6173,972982.0013
20160412,1033019.847,1008956.523,967756.6104,958129.3925,981204.0329
20160413,1032701.634,1008853.043,968193.2604,960128.0608,983328.5453
20160414,1035019.175,1010981.282,970236.0092,956306.251,982120.1054
20160415,1041176.335,1015858.434,974847.4398,963215.047,986459.7382
20160418,1043852.628,1017304.341,975313.7843,971841.3672,990558.3761
20160419,1034363.479,1008297.585,968066.0124,973384.858,985369.0467
20160420,1023630.974,998382.2323,957096.3433,968291.7313,972480.8405
20160421,1029230.338,1003628.023,960645.9726,971683.7388,976209.7179
20160422,1030376.18,1005024.594,960977.2942,969433.8687,977821.1265
20160425,1030340.299,1004955.049,963226.3303,976044.9383,980471.3951
20160426,1033644.883,1008272.58,967094.7134,989286.497,984348.0946
20160427,1025497.171,1000580.592,958346.6545,977274.9745,976444.0419
20160428,1022438.711,997350.6111,954848.2412,973992.1081,971291.507
20160429,1030556.432,1005125.653,962856.2618,979759.6447,979793.497
20160502,1026098.288,1000708.552,957823.5811,969576.737,976074.4847
20160503,1023728.382,998652.804,954650.3809,962202.3507,973761.7265
20160504,1022592.397,997436.2395,951794.5719,964338.6033,973312.4749
20160505,1026697.999,1001797.543,955173.4678,968872.4434,975796.7864
20160506,1027092.348,1002016.859,953787.773,964118.0297,976145.2498
20160509,1036822.385,1011587.912,963465.2829,979021.969,985561.2022
20160510,1026318.769,1001682.221,953481.5236,967610.8987,973615.9356
20160511,1028759.553,1004563.641,955187.6306,971823.5186,975517.9605
20160512,1017474.001,993514.0301,943996.6955,959239.2337,964741.5445
20160513,1027051.951,1003002.935,952745.1989,968466.3692,971968.7369
20160516,1013626.225,989605.2252,940024.195,959523.5045,958669.4615
20160517,1008404.116,984421.2286,935162.4801,959534.3948,953728.2213
20160518,1005573.782,981798.1149,931181.609,948513.6846,949448.2918
20160519,1009458.414,984596.7291,933130.2813,944409.0092,951155.2722
20160520,1012793.066,988056.816,935735.2091,945355.4197,952696.6325
20160523,1025636.514,1000639.616,947118.0626,951530.9895,963918.9118
20160524,1029226.621,1004147.985,950552.3243,960518.3767,967014.6511
20160525,1025037.952,1000388.508,947534.2266,958614.1294,964123.2315
20160526,1026472.989,1001778.856,948264.7266,959296.2926,964914.458
20160527,1020116.052,995754.1725,943240.1759,948698.0136,960250.3193
20160531,1022845.373,998463.3722,945185.7497,950709.538,961804.6143
20160601,1026267.254,1001730.559,949508.5896,947909.9798,964716.8799
20160602,1029601.928,1005194.025,953345.574,945213.3704,967193.8545
20160603,1032150.094,1007973.978,955998.1951,959127.0452,970399.3034
20160606,1034103.054,1009727.399,958137.0056,962364.5563,972222.2009
20160607,1036027.502,1011814.671,960853.8657,964399.2262,974377.1261
20160608,1034445.991,1010458.398,959123.748,963693.2865,972780.7739
20160609,1033365.139,1009299.175,958795.4121,954010.5126,973791.2973
20160610,1027219.804,1002798.239,954270.905,952625.3031,971719.2855
20160613,1023756.45,999669.7129,949760.8992,949739.8737,968882.6517
20160614,1021274.309,997228.5537,947783.5426,946545.7991,965705.3606
20160615,1027734.976,1003481.188,952434.9351,949874.4726,970413.9209
20160616,1026505.551,1002004.789,952235.8277,948095.785,969065.0583
20160617,1032531.86,1007883.326,957709.6246,959035.6981,975131.8108
20160620,1034174.992,1009581.749,958656.318,958800.7538,975333.9137
20160621,1031385.618,1006721.572,955380.5601,954972.9266,971401.4567
20160622,1042832.468,1017695.199,966354.732,968077.3202,982589.1725
20160623,1013199.463,989019.4828,936843.5458,931032.3364,953302.6705
20160624,995616.7264,972024.9441,919137.0849,914032.9852,935321.3365
20160627,1005064.84,981370.9367,929172.8642,930066.9973,946822.4332
20160628,1020497.249,996306.7316,944065.6318,947231.9859,962625.707
20160629,1031486.519,1006979.648,954028.2431,962798.6711,972950.2646
20160630,1034264.066,1009699.52,956835.4002,961900.8189,974997.3916
20160705,1029752.794,1005551.288,952052.6753,956680.3125,970737.4351
20160706,1027744.5,1003733.229,949775.1724,954972.2955,967726.8526
20160707,1043359.704,1018704.151,964942.1324,968470.4455,980495.4029
20160708,1048686.629,1023873.499,970092.9998,976247.7836,984916.5855
20160711,1056455.153,1031534.603,975353.21,986709.5317,987739.3053
20160712,1059163.004,1034345.112,975477.3591,988351.1725,988296.4361
20160713,1071193.653,1046062.838,984108.6452,999203.1283,996503.9492
20160714,1070059.641,1044897.618,984329.1328,998231.137,995591.4395
20160715,1073554.624,1048144.777,983982.1094,1000864.617,995742.9405
20160718,1073277.806,1047988.204,986487.1151,1000668.817,998788.7128
20160719,1076394.632,1050912.788,986919.9087,1000262.613,1000187.415
20160720,1070915.786,1045880.222,981620.6092,993677.9982,995334.4564
20160721,1076428.1,1051346.743,983352.4454,997865.1594,997645.5769
20160722,1076182.742,1051027.599,976555.0599,991922.6101,991131.0263
20160725,1071745.208,1046325.655,980974.9408,985445.2204,990076.7729
20160726,1064832.634,1039413.352,984424.4138,977410.695,991206.884
20160727,1063314.382,1037973.185,979499.5201,975377.5169,986442.33
20160728,1060068.884,1034970.577,978634.3018,968445.6991,985421.9936
20160729,1061798.757,1036864.434,972242.1237,961601.2746,977815.5436
20160801,1053849.044,1028981.709,968022.7771,956402.4049,973411.0867
20160802,1056002.534,1030394.989,969981.0798,962503.8427,975231.417
20160803,1057172.595,1031476.633,969833.9969,963037.3977,974998.8686
20160804,1067825.966,1041523.91,983532.5345,976458.5757,990188.6537
20160805,1066199.898,1039660.15,985253.5224,978362.7436,992572.4439
20160808,1066667.437,1040143.387,985400.455,980144.7611,992450.3112
20160809,1067148.412,1040678.042,978196.5026,975151.4846,983935.3307
20160810,1072171.54,1045463.484,984065.6367,982670.0258,990560.8988
20160811,1067193.564,1040673.882,986139.8539,982412.6197,993126.6426
20160812,1072507.874,1045671.477,990163.358,989894.7705,997266.1303
20160815,1067810.308,1040946.053,987764.2171,988549.4532,995476.709
20160816,1068628.061,1041881.052,988649.1288,987738.0836,996571.2934
20160817,1072744.02,1045826.059,992529.1957,990277.5562,1000844.489
20160818,1069547.447,1042514.699,986833.4454,987205.9232,994720.6568
20160819,1069476.174,1042356.882,986577.9734,986951.8904,995039.2233
20160822,1070990.936,1043995.693,984799.8402,986578.8191,993296.7402
20160823,1067598.742,1040699.328,981531.1036,983658.5702,989696.4213
20160824,1069056.924,1042170.094,978005.9887,985298.1561,985490.5917
20160825,1065487.216,1038670.28,975935.0556,983053.6739,983355.4363
20160826,1073820.332,1046778.102,981702.2708,989292.7348,989069.8012
20160829,1075255.846,1047811.802,976140.5012,995272.5839,983157.9359
20160830,1074498.98,1047054.173,972731.6788,995952.0239,979308.0453
20160831,1076277.766,1048712.629,972897.1214,993263.8871,978856.3539
20160901,1080584.782,1052882.535,978741.5801,997351.4233,984927.9547
20160902,1082489.874,1054843.34,988088.3618,1002438.015,994981.4696
20160906,1081862.693,1054141.278,987387.4235,1002186.065,994369.6244
20160907,1085551.167,1057348.816,987731.5099,1007791.971,996529.4697
20160908,1065644.501,1037896.66,964478.6141,986802.9906,972867.488
20160909,1077407.437,1049528.928,976007.2283,1002161.4,984355.901
20160912,1060253.886,1032844.759,962599.7288,981946.5007,969323.6588
20160913,1059248.918,1031973.627,960131.8699,978701.9753,965432.751
20160914,1069468.942,1041850.334,970027.0578,990086.6994,975004.921
20160915,1064864.423,1037326.768,964527.9277,983660.9909,968935.6667
20160916,1064564.776,1036970.048,962744.3237,983030.672,967306.8037
20160919,1065625.028,1038157.884,960017.7651,985821.6699,964851.7514
20160920,1069434.541,1042020.185,971140.7582,990716.672,976443.7087
20160921,1075027.126,1047285.38,976714.9211,996642.6654,982156.1676
