,index,balance
0,20151002,1001865.9381713867
1,20151005,1000858.2651367188
2,20151006,1002503.4542007446
3,20151007,1005351.041015625
4,20151008,1005262.1234130859
5,20151009,1006187.5025901794
6,20151012,1004137.2368164062
7,20151013,1001411.1799316406
8,20151014,1009397.7822265625
9,20151015,1012638.9626464844
10,20151016,1012525.6701660156
11,20151019,1011403.5988769531
12,20151020,1010026.1309814453
13,20151021,1009229.25
14,20151022,1009229.25
15,20151023,1009229.25
16,20151026,1009229.25
17,20151027,1009229.25
18,20151028,1009229.25
19,20151029,1009229.25
20,20151030,1009229.25
21,20151102,1009229.25
22,20151103,1008682.2561798096
23,20151104,1008599.3125
24,20151105,1008951.3089599609
25,20151106,1008818.75
26,20151109,1008702.7474975586
27,20151110,1007977.1158447266
28,20151111,1004439.5214996338
29,20151112,1000225.8579101562
30,20151113,999958.8125
31,20151116,1000300.9248046875
32,20151117,1001837.1942443848
33,20151118,1001408.2136230469
34,20151119,1003455.3623046875
35,20151120,1003456.0607910156
36,20151123,1003738.484375
37,20151124,1002875.4389648438
38,20151125,1002714.6784667969
39,20151127,1000849.4009399414
40,20151130,1004867.5791015625
41,20151201,997850.1157226562
42,20151202,989352.3564422131
43,20151203,1007577.619140625
44,20151204,1003186.3015136719
45,20151207,994214.314453125
46,20151208,996391.2969474792
47,20151209,995394.9375
48,20151210,993375.1168823242
49,20151211,994277.9076538086
50,20151214,993210.0938110352
51,20151215,995709.3710403442
52,20151216,991185.6663208008
53,20151217,984929.0682983398
54,20151218,987817.9296875
55,20151221,992801.2854614258
56,20151222,997823.6459960938
57,20151223,996487.0059127808
58,20151224,995816.427734375
59,20151228,1002563.003326416
60,20151229,998042.814453125
61,20151230,990924.7800292969
62,20160104,980495.6667480469
63,20160105,966791.5629882812
64,20160106,947167.308221817
65,20160107,940359.4497952461
66,20160108,943497.9745750427
67,20160111,945920.8587608337
68,20160112,926469.7908554077
69,20160113,938670.3195915222
70,20160114,917031.8065805435
71,20160115,915057.772400856
72,20160119,899082.428650856
73,20160120,904151.237244606
74,20160121,919624.8807992935
75,20160122,907154.731385231
76,20160125,926120.955994606
77,20160126,919526.102478981
78,20160127,926266.8143930435
79,20160128,949401.2030649185
80,20160129,948451.8125
81,20160201,948451.8125
82,20160202,948451.8125
83,20160203,948451.8125
84,20160204,948451.8125
85,20160205,948451.8125
86,20160208,948451.8125
87,20160209,948451.8125
88,20160210,945956.40625
89,20160211,952110.513671875
90,20160212,951812.25
91,20160216,953885.3159179688
92,20160217,953356.1064453125
93,20160218,953032.080078125
94,20160219,960555.248046875
95,20160222,951920.265625
96,20160223,957575.15625
97,20160224,971435.5485553741
98,20160225,967854.8376178741
99,20160226,960673.9040241241
100,20160229,981216.3258991241
101,20160301,982097.6540241241
102,20160302,984432.1227741241
103,20160303,988013.2282428741
104,20160304,985599.4137897491
105,20160307,980534.3844928741
106,20160308,983213.1462116241
107,20160309,982047.0602741241
108,20160310,996378.9430866241
109,20160311,994916.3298053741
110,20160314,996600.1462116241
111,20160315,1001598.0407428741
112,20160316,1011196.3102741241
113,20160317,1016634.8610553741
114,20160318,1016625.1794147491
115,20160321,1013255.9743366241
116,20160322,1010926.0876178741
117,20160323,1012433.1520709991
118,20160324,1014746.6735553741
119,20160328,1020724.4157428741
120,20160329,1027285.0583209991
121,20160330,1026447.4684772491
122,20160331,1036201.4997272491
123,20160401,1034312.4176959991
124,20160405,1030436.1477928162
125,20160406,1019152.0925617218
126,20160407,1020823.5033302307
127,20160408,1018967.7557373047
128,20160411,1027011.2302112579
129,20160412,1033019.846997261
130,20160413,1032701.633600235
131,20160414,1035019.1750888824
132,20160415,1041176.3353919983
133,20160418,1043852.6283607483
134,20160419,1034363.4788813591
135,20160420,1023630.9739985466
136,20160421,1029230.3383903503
137,20160422,1030376.1801872253
138,20160425,1030340.2993278503
139,20160426,1033644.8828401566
140,20160427,1025497.1707565784
141,20160428,1022438.7112197876
142,20160429,1030556.4322515726
143,20160502,1026098.2877101898
144,20160503,1023728.3815908432
145,20160504,1022592.3972158432
146,20160505,1026697.9987783432
147,20160506,1027092.348361969
148,20160509,1036822.385471344
149,20160510,1026318.7688083649
150,20160511,1028759.5529880524
151,20160512,1017474.0012302399
152,20160513,1027051.9514255524
153,20160516,1013626.2253837585
154,20160517,1008404.1155052185
155,20160518,1005573.782497406
156,20160519,1009458.4143333435
157,20160520,1012793.065700531
158,20160523,1025636.5136728287
159,20160524,1029226.6210947037
160,20160525,1025037.9521598816
161,20160526,1026472.988620758
162,20160527,1020116.0520973206
163,20160531,1022845.3729534149
164,20160601,1026267.2535991669
165,20160602,1029601.9277935028
166,20160603,1032150.0941753387
167,20160606,1034103.0539899468
168,20160607,1036027.5018659234
169,20160608,1034445.9906354547
170,20160609,1033365.1390360594
171,20160610,1027219.8040751219
172,20160613,1023756.4504910707
173,20160614,1021274.3088895082
174,20160615,1027734.9758816957
175,20160616,1026505.5514793396
176,20160617,1032531.8602590561
177,20160620,1034174.9916067123
178,20160621,1031385.6175832748
179,20160622,1042832.4676699638
180,20160623,1013199.462720871
181,20160624,995616.726392746
182,20160627,1005064.839673996
183,20160628,1020497.2487845421
184,20160629,1031486.5188040733
185,20160630,1034264.0657820702
186,20160705,1029752.7937774658
187,20160706,1027744.5004243851
188,20160707,1043359.7040700912
189,20160708,1048686.6288108826
190,20160711,1056455.1527252197
191,20160712,1059163.0044355392
192,20160713,1071193.653142929
193,20160714,1070059.6406230927
194,20160715,1073554.624487877
195,20160718,1073277.806467533
196,20160719,1076394.6321971416
197,20160720,1070915.7859191895
198,20160721,1076428.1001491547
199,20160722,1076182.7417263985
200,20160725,1071745.2076687813
201,20160726,1064832.6340374947
202,20160727,1063314.3820347786
203,20160728,1060068.8838963509
204,20160729,1061798.7565541267
205,20160801,1053849.0442128181
206,20160802,1056002.5336079597
207,20160803,1057172.5951161385
208,20160804,1067825.9662632942
209,20160805,1066199.898296833
210,20160808,1066667.4365811348
211,20160809,1067148.412006855
212,20160810,1072171.5399975777
213,20160811,1067193.5637249947
214,20160812,1072507.8735775948
215,20160815,1067810.3078045845
216,20160816,1068628.060619831
217,20160817,1072744.0196843147
218,20160818,1069547.4465756416
219,20160819,1069476.174217701
220,20160822,1070990.9362416267
221,20160823,1067598.741543293
222,20160824,1069056.9235768318
223,20160825,1065487.2162251472
224,20160826,1073820.3320012093
225,20160829,1075255.8462452888
226,20160830,1074498.9801487923
227,20160831,1076277.7659115791
228,20160901,1080584.781853199
229,20160902,1082489.8739247322
230,20160906,1081862.6932721138
231,20160907,1085551.166580677
232,20160908,1065644.5012669563
233,20160909,1077407.4365429878
234,20160912,1060253.886452198
235,20160913,1059248.917904377
236,20160914,1069468.9417157173
237,20160915,1064864.4227986336
238,20160916,1064564.7760472298
239,20160919,1065625.0275998116
240,20160920,1069434.5407681465
241,20160921,1075027.1259465218
242,20160922,1067056.6128087044
243,20160923,1054800.889389515
244,20160926,1063056.7777981758
245,20160927,1062674.6123433113
246,20160928,1047968.6507725716
247,20160929,1059818.5734257698
248,20161003,1054875.0650024414
249,20161004,1067340.8172302246
250,20161005,1069295.5007801056
251,20161006,1071336.4443621635
252,20161007,1076148.7878723145
253,20161010,1065418.9179821014
254,20161011,1063479.8662338257
255,20161012,1057358.0705604553
256,20161013,1063315.9407253265
257,20161014,1058553.6680345535
258,20161017,1068086.7856292725
259,20161018,1070390.2274091244
260,20161019,1066971.2111606598
261,20161020,1065945.1431179047
262,20161021,1070547.165542841
263,20161024,1075226.5340940952
264,20161025,1088000.4291210175
265,20161026,1083512.5117102265
266,20161027,1078434.0926733017
267,20161028,1076473.6112462878
268,20161031,1074171.7518501282
269,20161101,1066092.1920905113
270,20161102,1062726.032399416
271,20161103,1059444.3511257172
272,20161104,1086056.8752326965
273,20161107,1086963.5717411041
274,20161108,1123672.9152889252
275,20161109,1147903.0633392334
276,20161110,1149576.3427333832
277,20161111,1162987.9855594635
278,20161114,1161824.8900032043
279,20161115,1161825.0699996948
280,20161116,1162313.501689911
281,20161117,1161881.2874298096
282,20161118,1163937.7645568848
283,20161121,1166081.548034668
284,20161122,1167795.1025657654
285,20161123,1168764.380859375
286,20161125,1165192.8598632812
287,20161128,1166027.7880859375
288,20161129,1172665.0559082031
289,20161130,1171798.625
290,20161201,1171798.625
291,20161202,1171798.625
292,20161205,1172087.2368164062
293,20161206,1176330.7454223633
294,20161207,1178289.4085083008
295,20161208,1177893.75
296,20161209,1177501.8854980469
297,20161212,1178288.8213500977
298,20161213,1175505.919494629
299,20161214,1177518.5343017578
300,20161215,1175132.3322753906
301,20161216,1176399.771484375
302,20161219,1181447.0168457031
303,20161220,1179552.0128173828
304,20161221,1178650.2546386719
305,20161222,1180434.6484375
306,20161223,1181119.1657714844
307,20161227,1174100.1880493164
308,20161228,1169839.3307228088
309,20161229,1169479.2251987457
310,20170103,1184814.142578125
311,20170104,1181781.4682617188
312,20170105,1185927.1713867188
313,20170106,1179156.5561523438
314,20170109,1176568.1424560547
315,20170110,1183867.8444824219
316,20170111,1179563.3743896484
317,20170112,1181627.0862197876
318,20170113,1179527.5801124573
319,20170117,1176886.3512163162
320,20170118,1173305.4828481674
321,20170119,1183243.8424110413
322,20170120,1175681.8069324493
323,20170123,1182773.3225574493
324,20170124,1200441.3420886993
325,20170125,1200980.1956043243
326,20170126,1195793.8264636993
327,20170127,1186249.9221668243
328,20170130,1179452.5725574493
329,20170131,1176484.7932605743
330,20170201,1177070.5901355743
331,20170202,1182639.8948230743
332,20170203,1185473.4905261993
333,20170206,1189588.9124011993
334,20170207,1182657.7678699493
335,20170208,1189265.9299793243
336,20170209,1196721.7034168243
337,20170210,1204334.1975574493
338,20170213,1204259.5159168243
339,20170214,1213698.1331043243
340,20170215,1214564.9065418243
341,20170216,1220246.4143543243
342,20170217,1232285.7151355743
343,20170221,1228892.3557605743
344,20170222,1235586.4436511993
345,20170223,1236571.7073230743
346,20170224,1241709.8596668243
347,20170227,1242861.8284168243
348,20170228,1260289.7268543243
349,20170301,1255967.3499011993
350,20170302,1251193.1897449493
351,20170303,1248070.2268543243
352,20170306,1246987.6389636993
353,20170307,1239357.8889636993
354,20170308,1238945.0315418243
355,20170309,1237329.1448230743
356,20170310,1236085.8323230743
357,20170313,1231308.0159168243
358,20170314,1238316.9416980743
359,20170315,1235339.4397449493
360,20170316,1239590.9006824493
361,20170317,1237162.3870105743
362,20170320,1225666.3010730743
363,20170321,1223461.3088855743
364,20170322,1224615.4475574493
365,20170323,1221250.2561511993
366,20170324,1218569.9456043243
367,20170327,1225584.7131824493
368,20170328,1227341.1995105743
369,20170329,1228520.2424793243
370,20170330,1220846.0569324493
371,20170331,1221338.2795886993
372,20170404,1221955.4411773682
373,20170405,1222692.2408774495
374,20170406,1225484.9614715576
375,20170407,1223411.570558548
376,20170410,1225927.5454730988
377,20170411,1221155.832862854
378,20170412,1214113.0985965729
379,20170413,1226647.4953536987
380,20170417,1222563.6917190552
381,20170418,1219608.3629379272
382,20170419,1224977.7986869812
383,20170420,1223328.1750221252
384,20170421,1231343.5065402985
385,20170424,1239046.5896701813
386,20170425,1229319.5058078766
387,20170426,1232101.8064060211
388,20170427,1236068.7628269196
389,20170428,1229375.1554660797
390,20170501,1231479.5909519196
391,20170502,1233183.877817154
392,20170503,1229063.388742447
393,20170504,1235729.193429947
394,20170505,1241244.8967380524
395,20170508,1242131.409067154
396,20170509,1229910.0315647125
397,20170510,1232458.1106052399
398,20170511,1230529.4018650055
399,20170512,1228480.1677951813
400,20170515,1226366.9066867828
401,20170516,1207777.584054947
402,20170517,1202911.7240695953
403,20170518,1214664.4509372711
404,20170519,1224696.202035904
405,20170522,1225977.812631607
406,20170523,1230419.6655979156
407,20170524,1235795.6552829742
408,20170525,1234784.1034641266
409,20170526,1235413.1459445953
410,20170530,1239421.9392185211
411,20170531,1239398.2187595367
412,20170601,1246649.9937229156
413,20170602,1245504.7476291656
414,20170605,1239802.1140842438
415,20170606,1243706.2237644196
416,20170607,1245532.6339206696
417,20170608,1251108.2381076813
418,20170609,1254190.3678073883
419,20170612,1257721.9054660797
420,20170613,1261197.1128025055
421,20170614,1268979.2617282867
422,20170615,1271395.5023288727
423,20170616,1279705.8020114899
424,20170619,1273373.346567154
425,20170620,1273359.8842258453
426,20170621,1270555.9848117828
427,20170622,1282857.1409397125
428,20170623,1276618.8664035797
429,20170626,1269332.4431247711
430,20170627,1273846.4663791656
431,20170628,1260862.869211197
432,20170629,1267535.6987400055
433,20170630,1274855.7045383453
434,20170705,1271551.4202728271
435,20170706,1276554.722413063
436,20170707,1280590.9449138641
437,20170710,1285915.5557365417
438,20170711,1290115.6008501053
439,20170712,1289513.176064849
440,20170713,1298830.6337242126
441,20170714,1299235.7993850708
442,20170717,1299752.4785729647
443,20170718,1303920.0045166016
444,20170719,1304089.0018749237
445,20170720,1306577.9930887222
446,20170721,1303717.2994230837
447,20170724,1307886.853521347
448,20170725,1336727.1586146355
449,20170726,1335390.5
450,20170727,1335390.5
451,20170728,1335390.5
452,20170731,1335390.5
453,20170801,1335431.1635742188
454,20170802,1335518.7767333984
455,20170803,1336116.2509765625
456,20170804,1335278.3266601562
457,20170807,1334357.0891113281
458,20170808,1334193.6392822266
459,20170809,1329828.6918945312
460,20170810,1329321.9342489243
461,20170811,1333511.6990966797
462,20170814,1331058.1872558594
463,20170815,1333547.2421875
464,20170816,1319648.3015136719
465,20170817,1315414.2661743164
466,20170818,1317188.1786499023
467,20170821,1324775.0395507812
468,20170822,1317937.6764526367
469,20170823,1315886.662847519
470,20170824,1316895.0446662903
471,20170825,1314440.4994602203
472,20170828,1318477.1638069153
473,20170829,1319048.4599113464
474,20170830,1324738.5644845963
475,20170831,1319650.4906044006
476,20170901,1302644.744013071
477,20170905,1301342.125
478,20170906,1301621.0496826172
479,20170907,1301533.0
480,20170908,1301533.0
481,20170911,1301533.0
482,20170912,1301533.0
483,20170913,1301533.0
484,20170914,1301533.0
485,20170915,1301832.8370361328
486,20170918,1301969.5021972656
487,20170919,1301453.0927734375
488,20170920,1299745.6103515625
489,20170921,1299694.4105529785
490,20170922,1298931.1958007812
491,20170925,1298499.6286621094
492,20170926,1297837.9018554688
493,20170927,1299768.724609375
494,20170928,1300856.3198242188
495,20170929,1309021.9462890625
496,20171003,1316805.3706054688
497,20171004,1321521.154296875
498,20171005,1322480.0411014557
499,20171006,1321733.688811779
500,20171009,1325435.8893537521
501,20171010,1327045.7159843445
502,20171011,1326005.4907493591
503,20171012,1328250.5215044022
504,20171013,1333811.4589582682
505,20171016,1330167.5937238932
506,20171017,1343443.3300520182
507,20171018,1343067.7304426432
508,20171019,1353733.2441145182
509,20171020,1349587.0351301432
510,20171023,1375937.9101301432
511,20171024,1375096.6874738932
512,20171025,1373721.625
513,20171026,1374669.7490234375
514,20171027,1374479.75
515,20171030,1374479.75
516,20171031,1374581.3740234375
517,20171101,1374391.75
518,20171102,1374391.75
519,20171103,1374008.7509765625
520,20171106,1373152.001953125
521,20171107,1373150.5
522,20171108,1369608.0
523,20171109,1365838.28125
524,20171110,1366981.296875
525,20171113,1363796.07421875
526,20171114,1352921.978565216
527,20171115,1370120.453174591
528,20171116,1368750.375
529,20171117,1369161.3745117188
530,20171120,1368971.875
531,20171121,1368473.9990234375
532,20171122,1368629.5625
533,20171124,1368795.8798828125
534,20171127,1376673.06640625
535,20171128,1380725.21875
536,20171129,1398639.53125
