index,balance a2c,balance ppo,balance ddpg
20160104,1000085.074,1000023.274,1000096.073
20160105,997928.4603,997545.9851,996368.8374
20160106,992991.6246,993285.7021,988338.8408
20160107,990103.2949,990753.3798,984454.4063
20160108,991722.0925,991545.9045,983128.6553
20160111,993460.1409,993903.8501,986848.6797
20160112,984470.3369,984493.5264,973872.7891
20160113,990198.267,990455.146,989463.334
20160114,978117.0598,977812.8955,964954.7981
20160115,976851.4824,978490.3998,964556.4674
20160119,966202.7133,969669.453,949191.3013
20160120,970948.6777,973028.3317,960882.6177
20160121,979470.1915,980680.8428,977215.6353
20160122,973327.5195,973954.1362,963157.2759
20160125,983870.0237,984693.9319,987151.4185
20160126,977014.4575,968563.1104,981487.9732
20160127,982763.1647,972621.041,993199.9615
20160128,1002258.442,987766.7471,1011321.227
20160129,1000413.147,988430.9028,1009697.465
20160201,984825.3277,971954.9968,1001801.187
20160202,990211.8491,981283.8359,1020839.315
20160203,995507.5706,987690.4822,1024814.242
20160204,982000.0989,977316.9351,1009549.935
20160205,967334.1895,965471.1301,1011399.844
20160208,962814.469,963092.9374,1009939.778
20160209,954184.214,952053.896,1000484.489
20160210,941137.5204,933671.3177,991579.3926
20160211,966076.0592,948441.8961,1009475.022
20160212,980672.8676,962660.8513,1017874.611
20160216,996358.5978,982444.4908,1032610.376
20160217,1005368.135,983127.8364,1030172.253
20160218,1007343.834,977611.3118,1025670.712
20160219,1016742.307,991136.668,1037588.702
20160222,1002966.049,980319.425,1022692.551
20160223,1007329.34,981016.699,1027098.277
20160224,1021329.13,991261.4501,1037258.946
20160225,1015748.31,990189.7722,1033020.228
20160226,1005775.394,985651.3298,1026681.191
20160229,1031930.88,1005529.857,1048318.93
20160301,1037273.517,1006229.626,1049322.289
20160302,1041203.173,1008069.31,1049510.251
20160303,1041738.48,1011936.747,1053157.81
20160304,1046017.573,1019170.491,1059418.751
20160307,1036946.608,1011158.721,1050007.219
20160308,1041886.619,1016302.218,1058712.307
20160309,1040151.427,1013773.78,1060181.038
20160310,1055037.466,1026918.761,1071425.935
20160311,1055757.482,1031404.123,1071513.985
20160314,1057538.312,1032113.029,1072617.555
20160315,1063747.509,1039904.312,1075932.224
20160316,1074021.314,1055597.907,1083661.219
20160317,1081020.105,1061756.35,1090365.551
20160318,1083762.936,1065577.355,1085267.181
20160321,1080540.727,1062774.984,1082022.643
20160322,1069136.172,1053064.079,1079120.948
20160323,1075227.185,1054253.486,1080869.59
20160324,1076869.226,1052639.087,1083888.827
20160328,1082065.194,1055447.946,1085428.663
20160329,1084604.757,1052649.905,1091591.796
20160330,1091117.601,1045906.026,1087295.357
20160331,1098642.697,1047076.709,1090868.9
20160401,1092501.264,1043871.589,1086555.049
20160405,1000000,1000000,1000000
20160406,1084639.37,1045496.916,1088803.935
20160407,1069311.373,1034622.545,1083488.823
20160408,1074203.1,1040429.379,1086963.933
20160411,1074285.972,1039707.972,1084173.456
20160412,1083670.557,1051671.635,1095643.991
20160413,1097834.543,1064760.091,1104725.733
20160414,1100453.256,1064589.174,1104708.76
20160415,1098271.056,1064623.268,1104838.647
20160418,1105631.969,1074417.438,1112642.096
20160419,1093004.319,1080899.959,1118594.348
20160420,1102755.292,1072576.589,1111720.157
20160421,1106232.786,1071251.376,1109265.541
20160422,1102845.4,1066349.65,1112495.411
20160425,1101343.678,1065729.836,1111993.237
20160426,1105180.589,1074660.113,1122142.768
20160427,1113517.927,1089925.258,1126821.86
20160428,1096264.075,1076247.188,1116578.309
20160429,1091179.049,1075347.655,1108006.978
20160502,1096075.651,1077397.805,1111655.168
20160503,1083763.238,1065086.029,1102048.765
20160504,1076733.58,1057358.097,1094279.467
20160505,1080314.487,1061690.646,1089913.804
20160506,1083503.911,1069698.468,1096311.17
20160509,1079783.597,1064156.674,1090760.297
20160510,1096163.043,1082404.151,1105204.392
20160511,1085892.269,1070726.358,1093273.644
20160512,1086909.288,1079533.269,1097035.758
20160513,1074498.138,1065083.843,1083473.786
20160516,1084418.543,1077954.493,1096457.426
20160517,1073287.85,1066503.328,1087328.879
20160518,1079839.233,1062368.596,1079314.52
20160519,1066460.605,1053483.576,1072099.34
20160520,1071189.358,1052408.325,1074877.032
20160523,1070341.223,1050864.129,1079691.903
20160524,1083900.536,1057146.253,1091138.071
20160525,1099193.939,1066726.627,1096526.981
20160526,1095925.775,1066141.598,1093276.719
20160527,1099368.237,1068083.336,1095090.887
20160531,1097011.707,1054964.19,1084637.782
20160601,1095841.619,1056849.991,1084687.036
20160602,1096453.414,1056562.159,1089802.524
20160603,1087186.839,1054448.698,1093500.547
20160606,1092604.851,1076656.592,1106998.911
20160607,1092472.617,1080889.824,1106742.477
20160608,1094783.268,1085951.954,1112011.067
20160609,1090671.837,1083996.251,1112314.868
20160610,1082108.768,1072334.962,1105933.719
20160613,1075111.533,1064345.317,1095323.004
20160614,1067577.545,1060767.596,1086411.016
20160615,1064697.272,1058850.734,1084204.028
20160616,1067472.473,1061651.373,1086254.614
20160617,1067318.922,1061000.484,1089261.668
20160620,1077755.592,1074247.605,1098610.434
20160621,1082056.994,1073256.535,1099312.356
20160622,1077048.13,1072099.628,1095814.215
20160623,1095949.823,1085794.262,1106939.809
20160624,1043015.384,1038886.204,1062818.645
20160627,1023492.996,1014556.308,1036206.45
20160628,1039804.297,1029326.392,1038711.403
20160629,1061493.534,1052697.495,1060276.094
20160630,1077685.656,1071791.95,1074614.653
20160705,1077534.891,1070576.76,1074939.083
20160706,1079275.316,1038188.895,1081254.034
20160707,1073160.207,1058846.874,1062414.36
20160708,1072578.507,1056581.04,1063726.937
20160711,1088893.93,1074804.568,1081925.566
20160712,1095171.826,1085270.329,1088951.43
20160713,1110339.69,1086312.084,1099812.89
20160714,1113670.471,1083945.817,1101295.164
20160715,1126958.542,1091749.391,1109174.201
20160718,1124487.806,1095827.459,1108716.802
20160719,1124308.538,1099541.076,1108707.385
20160720,1123325.396,1102309.394,1109097.882
20160721,1126875.18,1104463.186,1114513.374
20160722,1121686.682,1097614.568,1106728.129
20160725,1127435.135,1100162.812,1109299.568
20160726,1122346.614,1091429.449,1109282.175
20160727,1114553.186,1096511.923,1107045.507
20160728,1108281.241,1098416.48,1100962.548
20160729,1105661.895,1083787.293,1098992.852
20160801,1103404.04,1081857.717,1099696.952
20160802,1097932.914,1068129.768,1099965.453
20160803,1094472.522,1064637.859,1095517.12
20160804,1097058.29,1067777.005,1095176.297
20160805,1098631.299,1065594.328,1095286.57
20160808,1107954.772,1069568.448,1105890.075
20160809,1105724.416,1075577.316,1105157.409
20160810,1106227.43,1077985.95,1104262.242
20160811,1103835.227,1066906.415,1101522.464
20160812,1113389.225,1071863.106,1112937.801
20160815,1110629.46,1076444.249,1109998.966
20160816,1112499.501,1083229.357,1112477.882
20160817,1107227.421,1084062.169,1105773.668
20160818,1106410.509,1083905.744,1108234.484
20160819,1112261.453,1088824.278,1109149.273
20160822,1106063.088,1081112.136,1113761.816
20160823,1103731.581,1084513.194,1110356.385
20160824,1105443.968,1079520.118,1115899.479
20160825,1104019.307,1077068.722,1116530.864
20160826,1102380.053,1072961.246,1113365.322
20160829,1098146.258,1068795.097,1111811.594
20160830,1105043.301,1074664.788,1116172.248
20160831,1101387.851,1064013.405,1112927.519
20160901,1096761.245,1055943.187,1110626.799
20160902,1099122.551,1056863.936,1114339.746
20160906,1101803.745,1065476.605,1115571.058
20160907,1107156.093,1079274.063,1115120.445
20160908,1108982.685,1076433.821,1114401.484
20160909,1105527.228,1081002.661,1107110.199
20160912,1082794.148,1049698.114,1085493.523
20160913,1096597.65,1059883.964,1100011.097
20160914,1078452.209,1042929.642,1085050.003
20160915,1073242.188,1034883.959,1082377.948
20160916,1083074.511,1038467.367,1092032.605
20160919,1074975.064,1028527.155,1088245.562
20160920,1077220.117,1030760.931,1087454.67
20160921,1076530.584,1025170.064,1089088.046
20160922,1083094.14,1041196.575,1098540.452
20160923,1088282.945,1047930.129,1102917.462
20160926,1081051.318,1046597.451,1093135.732
20160927,1074152.503,1039017.28,1079950.136
20160928,1083719.853,1043357.617,1091742.391
20160929,1092207.486,1067295.86,1085278.333
20161003,1083902.628,1059426.572,1069935.709
20161004,1093936.942,1067255.579,1078423.272
20161005,1068040.506,1053735.255,1062337.188
20161006,1080591.281,1063138.487,1068893.597
20161007,1086102.652,1077167.996,1075135.195
20161010,1086530.375,1076367.237,1073982.654
20161011,1084265.476,1072173.074,1076320.707
20161012,1091362.902,1089691.464,1079076.134
20161013,1079577.013,1076673.06,1067860.772
20161014,1077455.62,1070908.784,1071391.744
20161017,1072161.541,1068464.824,1067163.646
20161018,1073965.357,1069028.529,1069336.222
20161019,1071569.35,1070700.123,1062922.795
20161020,1073877.221,1074872.833,1070700.841
20161021,1072849.98,1080723.358,1067477.562
20161024,1071389.202,1080543.31,1071009.604
20161025,1071113.471,1076866.666,1075977.038
20161026,1073269.912,1085832.052,1080809.537
20161027,1076316.925,1090698.433,1076264.068
20161028,1079629.158,1113842.289,1078612.099
20161031,1076978.707,1105379.143,1077455.448
20161101,1081166.229,1092726.833,1075028.103
20161102,1084020.042,1083698.473,1077407.908
20161103,1083193.921,1084463.331,1071851.473
20161104,1076641.472,1077354.625,1068829.891
20161107,1076173.161,1075690.373,1062512.364
20161108,1070755.704,1073120.941,1057264.489
20161109,1092714.967,1097575.928,1082162.255
20161110,1095006.324,1095053.786,1085559.97
20161111,1100267.989,1111092.169,1105267.409
20161114,1107405.281,1121627.293,1111529.269
20161115,1108701.001,1116371.073,1117033.743
20161116,1106974.133,1114862.557,1134736.557
20161117,1116574.355,1119961.001,1143417.554
20161118,1114023.281,1110890.921,1134567.997
20161121,1113519.13,1105888.778,1142500.854
20161122,1112381.813,1106702.324,1141048.439
20161123,1121885.411,1115804.931,1146416.786
20161125,1125128.547,1120271.761,1148533.164
20161128,1127342.75,1122551.992,1148917.395
20161129,1131732.331,1126577.588,1152554.031
20161130,1131926.856,1121299.546,1155187.993
20161201,1129944.902,1121185.876,1151730.424
20161202,1131483.84,1122262.787,1152727.592
20161205,1132672.187,1123370.827,1158289.298
20161206,1132471.172,1123947.641,1157148.642
20161207,1133755.863,1126479.99,1171077.214
20161208,1134397.623,1126622.41,1175938.405
20161209,1153647.162,1137545.808,1191711.944
20161212,1155780.338,1138181.966,1199901.928
20161213,1166335.912,1149257.184,1212517.406
20161214,1168358.905,1164303.165,1206111.658
20161215,1176479.344,1173551.42,1213569.05
20161216,1168801.748,1157492.754,1207575.328
20161219,1172321.519,1158825.482,1215551.631
20161220,1174673.25,1161367.559,1211174.721
20161221,1174871.899,1164938.63,1212877.563
20161222,1178303.094,1164824.809,1220273.517
20161223,1176243.098,1163822.607,1216466.276
20161227,1176680.403,1166143.421,1213347.356
20161228,1176784.282,1166401.56,1213748.242
20161229,1177158.48,1167027.808,1214922.063
20170103,1170396.283,1159773.135,1207008.042
20170104,1171527.81,1160918.357,1206487.247
20170105,1167386.457,1156374.548,1201449.798
20170106,1087920.3,1068474.639,1075635.428
20170109,1181339.156,1160364.457,1203926.225
20170110,1179234.692,1156577.695,1203528.329
20170111,1179655.919,1159255.057,1207126.414
20170112,1171375.242,1149944.08,1202722.684
20170113,1165587.817,1144879.295,1200384.076
20170117,1173413.28,1148305.17,1209719.566
20170118,1172556.088,1144519.913,1206846.306
20170119,1170513.122,1143098.294,1205408.46
20170120,1170668.212,1146878.741,1205433.623
20170123,1165786.971,1142645.988,1206852.435
20170124,1163412.109,1134476.184,1200574.787
20170125,1169921.934,1140968.216,1199752.094
20170126,1169838.292,1136118.235,1198216.396
20170127,1179814.717,1139654.465,1207874.502
20170130,1187136.868,1142437.91,1218119.797
20170131,1185912.049,1141160.151,1215519.498
20170201,1182575.118,1143889.621,1216704.096
20170202,1175530.779,1136876.603,1211588.587
20170203,1173682.704,1132357.906,1208044.058
20170206,1170516.079,1123582.824,1207531.145
20170207,1169976.934,1125419.752,1207576.434
20170208,1176914.92,1130477.346,1217543.001
20170209,1176950.117,1131297.741,1217579.065
20170210,1182764.234,1131588.262,1222858.324
20170213,1180406.33,1122918.232,1222537.145
20170214,1182122.965,1126278.481,1219925.179
20170215,1185622.263,1133754.306,1219005.179
20170216,1192056.922,1142867.491,1224663.699
20170217,1196876.254,1142083.032,1230046.913
20170221,1200979.915,1146516.19,1234056.329
20170222,1206934.453,1145920.348,1245902.863
20170223,1197607.658,1146357.536,1246693.671
20170224,1205188.458,1149785.661,1253679.078
20170227,1209459.26,1146085.209,1256530.502
20170228,1215045.308,1149915.008,1259547.974
20170301,1218592.951,1148279.194,1261870.543
20170302,1218439.336,1152361.05,1259122.704
20170303,1216914.278,1150069.44,1258389.784
20170306,1229575.3,1168267.599,1273886.424
20170307,1226487.92,1161105.157,1271155.757
20170308,1225504.441,1158222.781,1271110.325
20170309,1224451.261,1157172.826,1264918.474
20170310,1222622.141,1156502.808,1262439.083
20170313,1218386.932,1147290.666,1258678.634
20170314,1217419.612,1150310.117,1261579.368
20170315,1224427.007,1152357.248,1265519.788
20170316,1220402.009,1150770.327,1262442.842
20170317,1216316.713,1145772.438,1260633.499
20170320,1225717.397,1156462.677,1266642.835
20170321,1225142.206,1154273.123,1266473.974
20170322,1220442.198,1155388.862,1262550.908
