index,balance 1,balance 2,balance 3
20160104,1000096.073,1000096.073,1000096.073
20160105,996368.8374,996368.8374,996368.8374
20160106,988338.8408,988338.8408,988338.8408
20160107,984454.4063,984454.4063,984454.4063
20160108,983128.6553,983128.6553,983128.6553
20160111,986848.6797,986848.6797,986848.6797
20160112,973872.7891,973872.7891,973872.7891
20160113,989463.334,989463.334,989463.334
20160114,964954.7981,964954.7981,964954.7981
20160115,964556.4674,964556.4674,964556.4674
20160119,949191.3013,949191.3013,949191.3013
20160120,960882.6177,960882.6177,960882.6177
20160121,977215.6353,977215.6353,977215.6353
20160122,963157.2759,963157.2759,963157.2759
20160125,987151.4185,987151.4185,987151.4185
20160126,981487.9732,981487.9732,981487.9732
20160127,993199.9615,993199.9615,993199.9615
20160128,1011321.227,1011321.227,1011321.227
20160129,1009697.465,1009697.465,1009697.465
20160201,1001801.187,1001801.187,1001801.187
20160202,1020839.315,1020839.315,1020839.315
20160203,1024814.242,1024814.242,1024814.242
20160204,1009549.935,1009549.935,1009549.935
20160205,1011399.844,1011399.844,1011399.844
20160208,1009939.778,1009939.778,1009939.778
20160209,1000484.489,1000484.489,1000484.489
20160210,991579.3926,991579.3926,991579.3926
20160211,1009475.022,1009475.022,1009475.022
20160212,1017874.611,1017874.611,1017874.611
20160216,1032610.376,1032610.376,1032610.376
20160217,1030172.253,1030172.253,1030172.253
20160218,1025670.712,1025670.712,1025670.712
20160219,1037588.702,1037588.702,1037588.702
20160222,1022692.551,1022692.551,1022692.551
20160223,1027098.277,1027098.277,1027098.277
20160224,1037258.946,1037258.946,1037258.946
20160225,1033020.228,1033020.228,1033020.228
20160226,1026681.191,1026681.191,1026681.191
20160229,1048318.93,1048318.93,1048318.93
20160301,1049322.289,1049322.289,1049322.289
20160302,1049510.251,1049510.251,1049510.251
20160303,1053157.81,1053157.81,1053157.81
20160304,1059418.751,1059418.751,1059418.751
20160307,1050007.219,1050007.219,1050007.219
20160308,1058712.307,1058712.307,1058712.307
20160309,1060181.038,1060181.038,1060181.038
20160310,1071425.935,1071425.935,1071425.935
20160311,1071513.985,1071513.985,1071513.985
20160314,1072617.555,1072617.555,1072617.555
20160315,1075932.224,1075932.224,1075932.224
20160316,1083661.219,1083661.219,1083661.219
20160317,1090365.551,1090365.551,1090365.551
20160318,1085267.181,1085267.181,1085267.181
20160321,1082022.643,1082022.643,1082022.643
20160322,1079120.948,1079120.948,1079120.948
20160323,1080869.59,1080869.59,1080869.59
20160324,1083888.827,1083888.827,1083888.827
20160328,1085428.663,1085428.663,1085428.663
20160329,1091591.796,1091591.796,1091591.796
20160330,1087295.357,1087295.357,1087295.357
20160331,1090868.9,1090868.9,1090868.9
20160401,1000000,1000000,1000000
20160405,1089050.269,1089290.226,1089143.379
20160406,1084000.706,1084456.319,1084154.855
20160407,1087253.553,1087975.529,1087410.944
20160408,1084372.242,1085726.394,1084672.839
20160411,1095288.376,1096668.034,1095400.429
20160412,1101575.68,1102658.717,1100960.566
20160413,1101890.415,1103131.38,1101101.584
20160414,1100699.047,1102374.129,1101068.597
20160415,1110818.488,1110971.018,1109044.75
20160418,1120449.212,1118839.095,1118679.464
20160419,1120042.873,1116812.565,1118457.6
20160420,1114832.011,1112591.957,1112883.974
20160421,1118381.985,1114783.132,1115911.991
20160422,1120020.161,1115032.6,1116270.393
20160425,1122782.818,1117127.73,1119823.304
20160426,1127020.866,1124296.685,1125082.176
20160427,1118119.529,1116045.158,1117383.698
20160428,1111226.188,1110469.78,1110518.938
20160429,1119802.529,1118407.31,1117032.334
20160502,1111241.395,1110676.391,1108305.795
20160503,1107085.052,1106071.539,1102488.73
20160504,1108510.956,1107557.306,1102590.406
20160505,1113266.812,1111901.64,1108291.534
20160506,1110780.322,1110997.03,1106454.969
20160509,1122047.968,1123047.772,1118293.733
20160510,1109183.853,1113132.088,1108991.718
20160511,1110528.332,1117475.013,1113150.621
20160512,1098572.876,1104457.455,1099693.803
20160513,1110801.344,1114327.301,1111152.785
20160516,1100381.649,1102396.649,1101005.855
20160517,1095642.903,1101503.742,1097475.087
20160518,1090428.959,1099199.185,1093956.786
20160519,1097235.449,1099819.886,1095695.755
20160520,1100161.662,1098662.355,1097307.61
20160523,1111995.979,1108104.981,1107322.391
20160524,1121209.666,1114890.939,1113890.288
20160525,1116397.441,1111778.574,1110328.953
20160526,1120223.13,1113826.479,1112354.016
20160527,1112049.303,1106967.591,1102961.158
20160531,1113314.271,1109599.08,1105282.303
20160601,1116640.37,1113041.035,1110140.593
20160602,1120815.045,1109451.693,1109786.738
20160603,1126300.644,1121292.1,1124524.866
20160606,1129138.319,1123916.634,1126546.059
20160607,1131312.32,1127390.182,1130601.81
20160608,1131256.408,1126341.059,1129814.422
20160609,1125666.504,1121914.293,1121341.864
20160610,1117693.53,1117399.496,1113190.94
20160613,1112774.005,1110640.418,1105552.927
20160614,1108002.699,1107579.687,1103350.757
20160615,1113426.052,1112007.419,1106966.262
20160616,1113391.96,1107345.486,1105297.354
20160617,1119128.16,1116202.051,1115469.108
20160620,1122290.116,1117394.908,1114951.393
20160621,1118860.716,1115629.268,1112254.354
20160622,1132839.107,1128661.571,1125105.966
20160623,1095186.316,1089558.259,1084613.045
20160624,1073975.502,1071100.843,1063205.961
20160627,1081522.165,1086538.158,1075517.278
20160628,1102771.68,1108937.995,1097119.434
20160629,1115232.013,1125112.665,1114010.819
20160630,1113998.799,1123667.843,1112566.233
20160705,1106209.694,1117741.229,1104218.477
20160706,1102568.535,1114020.912,1102562.81
20160707,1117664.579,1127984.991,1117772.586
20160708,1121732.897,1134036.633,1124672.338
20160711,1129215.526,1138245.726,1129154.193
20160712,1132086.666,1138997.744,1129054.975
20160713,1142150.378,1146856.426,1136246.847
20160714,1140404.988,1145575.855,1137054.252
20160715,1140164.641,1145967.771,1137406.412
20160718,1141136.401,1149286.425,1141586.912
20160719,1142438.351,1150088.846,1143493.611
20160720,1136544.471,1145408.382,1138206.807
20160721,1139082.641,1146897.105,1140690.202
20160722,1138688.672,1144099.194,1138552.6
20160725,1135715.031,1141719.771,1137396.194
20160726,1129215.509,1135206.546,1134106.55
20160727,1129887.2,1131978.03,1131588.62
20160728,1130293.845,1131936.558,1132497.225
20160729,1133092.517,1129930.786,1132876.656
20160801,1130237.289,1125849.791,1128425.766
20160802,1130313.935,1123670.184,1125363.687
20160803,1130286.46,1123976.382,1125390.44
20160804,1137848.399,1131902.549,1133316.332
20160805,1136777.885,1130421.069,1130591.133
20160808,1137096.695,1130142.832,1129722.058
20160809,1137452.601,1128378.604,1128764.241
20160810,1145751.806,1136572.318,1136945.601
20160811,1144403.062,1134656.566,1133733.786
20160812,1145639.656,1133828.501,1132305.874
20160815,1137980.808,1123876.372,1121864.899
20160816,1141054.517,1127673.724,1126185.237
20160817,1142545.273,1128565.227,1126525.673
20160818,1143096.619,1128252.695,1125972.595
20160819,1139625.634,1123740.551,1121344.907
20160822,1143177.794,1128040.075,1125925.841
20160823,1141141.327,1126746.762,1124994.829
20160824,1141072.253,1123501.815,1123010.607
20160825,1139160.7,1123319.29,1122827.51
20160826,1146094.819,1128640.025,1128721.892
20160829,1143853.364,1124947.385,1124493.511
20160830,1141732.603,1123239.103,1122071.158
20160831,1144587.246,1125664.531,1124913.158
20160901,1146867.27,1126712.834,1126406.079
20160902,1148100.071,1127551.23,1127111.463
20160906,1145173.537,1127003.478,1125859.479
20160907,1140658.73,1120677.986,1119496.178
20160908,1119127.466,1102748.407,1100647.185
20160909,1134917.053,1115605.721,1113479.635
20160912,1119273.384,1099893.687,1098910.527
20160913,1116605.62,1098524.727,1097427.562
20160914,1127869.229,1107363.844,1106222.384
20160915,1125812.305,1102668.619,1101447.189
20160916,1125738.489,1099857.216,1100026.446
20160919,1127095.663,1101577.063,1101888.104
20160920,1136030.506,1110428.167,1111790.159
20160921,1142000.755,1115439.143,1116246.916
20160922,1130900.091,1107080.837,1107429.145
20160923,1117962.845,1093958.921,1095343.614
20160926,1128415.181,1106871.348,1106933.832
20160927,1127096.861,1101210.766,1103927.977
20160928,1111001.458,1083447.593,1087255.885
20160929,1120407.479,1092617.438,1095751.317
20161003,1110849.836,1089931.823,1089490.845
20161004,1118086.235,1095915.501,1094896.578
20161005,1116607.241,1094100.537,1092634.06
20161006,1121249.812,1097669.344,1095662.792
20161007,1125797.822,1101814.84,1099675.31
20161010,1111338.897,1087857.717,1085174.465
20161011,1114866.475,1091485.047,1088224.662
20161012,1110403.485,1089278.544,1085527.547
20161013,1113701.939,1087865.933,1085371.988
20161014,1108494.25,1085424.731,1082416.331
20161017,1122323.021,1083398.718,1084217.884
20161018,1119538.67,1079808.928,1080989.022
20161019,1122331.619,1083215.449,1084868.228
20161020,1127212.797,1084338.537,1086439.983
20161021,1131600.237,1088393.738,1090619.465
20161024,1128297.486,1085586.588,1087711.889
20161025,1128170.041,1088108.106,1089516.982
20161026,1127384.963,1089564.292,1090793.55
20161027,1123141.784,1086750.075,1087291.536
20161028,1130730.875,1090798.458,1093002.826
20161031,1125020.138,1085029.465,1087303.085
20161101,1121075.124,1081832.953,1083665.896
20161102,1113501.178,1076690.705,1077658.277
20161103,1107749.604,1072091.73,1072755.589
20161104,1135288.092,1094225.889,1096373.249
20161107,1138611.983,1098010.234,1099137.475
20161108,1161923.336,1116226.945,1120264.844
20161109,1175888.5,1117959.701,1127632.071
20161110,1181842.466,1120017.577,1130841.003
20161111,1204984.805,1134967.213,1149411.559
20161114,1214509.974,1142735.773,1158008.404
20161115,1203591.292,1136854.252,1150166.664
20161116,1212011.325,1143028.526,1157360.363
20161117,1210686.331,1140700.581,1155197.637
20161118,1216233.477,1145526.054,1160719.965
20161121,1218137.33,1145581.474,1161855.409
20161122,1219369.904,1146195.103,1162844
20161123,1222537.574,1150874.952,1166735.794
20161125,1225078.747,1154885.511,1170616.924
20161128,1222902.572,1150571.693,1167835.611
20161129,1226569.693,1146274.987,1166983.063
20161130,1234002.708,1147081.792,1170403.18
20161201,1232082.663,1147975.78,1170703.08
20161202,1247598.781,1159824.397,1183315.685
20161205,1253279.304,1162654.901,1186998.017
20161206,1269595.023,1176526.069,1200664.896
20161207,1279859.738,1181338.054,1207117.725
20161208,1291965.777,1195100.925,1220489.671
20161209,1284513.376,1191446.522,1215952.297
20161212,1293318.517,1199306.886,1224454.348
20161213,1287870.16,1191776.932,1217026.792
20161214,1296410.358,1197623.231,1223583.641
20161215,1290534.089,1196012.732,1220699.752
20161216,1292529.356,1197113.806,1222263.552
20161219,1301416.83,1202639.008,1228940.783
20161220,1297203.434,1199480.985,1225510.001
20161221,1293531.897,1196211.285,1221671.097
20161222,1294021.581,1195807.605,1221573.288
20161223,1295361.631,1196761.516,1222607.419
20161227,1287047.358,1189007.295,1214303.161
20161228,1285483.869,1189499.344,1214014.164
20161229,1280592.915,1183054.264,1207940.806
20170103,1283700.163,1183098.833,1208460.075
20170104,1282170.946,1183047.176,1207645.973
20170105,1287450.61,1186828.537,1210600.036
20170106,1281361.611,1181301.776,1204982.102
20170109,1278682.188,1178954.063,1202624.786
20170110,1289884.566,1188217.226,1213070.711
20170111,1286789.959,1186194.793,1210306.957
20170112,1286256.505,1185244.693,1209681.527
20170113,1279755.379,1185922.996,1209060.566
20170117,1278947.474,1186549.121,1209304.87
20170118,1270946.282,1180448.793,1202647.811
20170119,1271098.229,1179691.117,1201229.884
20170120,1269112.439,1176838.16,1198422.868
