index,balance a2c,balance ppo,balance td3,balance ensemble,balance orig,balance no_turb,balance orig_td3
20160104,999630.1206,999952.1284,999232.9263,999232.9263,1000096.073,999232.9263,999865.1432
20160105,996497.3601,997070.594,994048.4102,994048.4102,996368.8374,994048.4102,998448.3464
20160106,990771.278,990594.6675,983785.2568,983785.2568,988338.8408,983785.2568,994446.7061
20160107,987544.3857,989002.132,979180.6523,979180.6523,984454.4063,979180.6523,992196.0118
20160108,989429.4365,988329.0168,982554.0625,982554.0625,983128.6553,982554.0625,993684.6201
20160111,993886.9871,989946.8367,985743.7852,985743.7852,986848.6797,985743.7852,994465.1406
20160112,978414.04,982584.5091,962448.8085,962448.8085,973872.7891,962448.8085,987630.0234
20160113,992299.9737,988042.5,973673.0957,973673.0957,989463.334,973673.0957,992515.9336
20160114,969613.4681,978501.8958,951438.707,951438.707,964954.7981,951438.707,981761.7678
20160115,970207.0849,977751.6346,951043.9765,951043.9765,964556.4674,951043.9765,981230.1643
20160119,952358.1385,970276.4536,934385.3632,934385.3632,949191.3013,934385.3632,970043.1687
20160120,955467.6837,972760.736,939280.2246,939280.2246,960882.6177,939280.2246,974981.9451
20160121,965401.5144,976844.8843,957366.374,957366.374,977215.6353,957366.374,978684.7999
20160122,949487.5595,968883.6709,943344.955,943344.955,963157.2759,943344.955,971639.6248
20160125,964153.1137,977448.0051,958825.5839,958825.5839,987151.4185,958825.5839,984673.2965
20160126,946044.3866,973758.9587,950114.9082,950114.9082,981487.9732,950114.9082,975996.2419
20160127,948827.3131,975252.248,956386.2363,956386.2363,993199.9615,956386.2363,982484.9221
20160128,969623.6045,988080.7339,981572.3242,981572.3242,1011321.227,981572.3242,1001263.081
20160129,968067.5377,989249.8198,979617.3964,979617.3964,1009697.465,979617.3964,1000386.344
20160201,947380.5133,977643.8911,967918.5546,967918.5546,1001801.187,967918.5546,990131.7905
20160202,959523.1512,985793.2036,977948.3691,977948.3691,1020839.315,977948.3691,998567.7411
20160203,964478.2913,990720.4595,983481.4414,983481.4414,1024814.242,983481.4414,1003182.089
20160204,955920.3056,983991.6416,971249.5214,971249.5214,1009549.935,971249.5214,989979.573
20160205,945535.5744,968040.7712,958051.7109,958051.7109,1011399.844,958051.7109,980047.3749
20160208,945782.1716,969782.4225,960137.8378,960137.8378,1009939.778,960137.8378,976683.2125
20160209,940053.1097,963398.2662,954809.6914,954809.6914,1000484.489,954809.6914,966774.4278
20160210,930472.8828,942515.3515,939525.4511,939525.4511,991579.3926,939525.4511,954121.8123
