,index,balance
0,0,999952.1283569336
1,1,997070.5939941406
2,2,990594.6674804688
3,3,989002.1319580078
4,4,988329.0168151855
5,5,989946.8366699219
6,6,982584.5090637207
7,7,988042.5
8,8,978501.8957519531
9,9,977751.6346359253
10,10,970276.4536132812
11,11,972760.7359619141
12,12,976844.8842773438
13,13,968883.6708984375
14,14,977448.0051269531
15,15,973758.9587402344
16,16,975252.2480163574
17,17,988080.7338867188
18,18,989249.8198242188
19,19,977643.8911132812
20,20,985793.2036132812
21,21,990720.4595336914
22,22,983991.6416015625
23,23,968040.7711791992
24,24,969782.4225463867
25,25,963398.2662353516
26,26,942515.3515014648
27,27,963391.1452636719
28,28,972595.1004714966
29,29,987482.7763061523
30,30,983017.8368835449
31,31,980497.8604164124
32,32,994714.3864462376
33,33,981339.5340158939
34,34,983759.7668609619
35,35,994688.119907856
36,36,995455.3829278946
37,37,990845.6485652924
38,38,1012414.1251621246
39,39,1012769.1115102768
40,40,1017037.6697978973
41,41,1021690.3027267456
42,42,1028887.9021906853
43,43,1020923.0912070274
44,44,1026955.5665650368
45,45,1027371.2616138458
46,46,1039983.763171196
47,47,1043339.599108696
48,48,1042276.758605957
49,49,1049185.4761285782
50,50,1064012.177570343
51,51,1074491.999080658
52,52,1077173.5702524185
53,53,1072565.0328741074
54,54,1062062.7397670746
55,55,1064858.7964782715
56,56,1064578.7525787354
57,57,1069394.5133209229
58,58,1068206.7975006104
59,59,1065753.5797271729
60,60,1072540.208466053
61,61,1070139.8086204529
62,62,1070132.137820316
63,0,1070705.194530487
64,1,1060137.031633377
65,2,1066175.2548217773
66,3,1064311.3370513916
67,4,1075165.8965358734
68,5,1083813.3978099823
69,6,1086232.1286411285
70,7,1084831.3612042665
71,8,1092661.086950779
72,9,1099800.2415971756
73,10,1094683.3098278046
74,11,1088073.5116004944
75,12,1092493.3165855408
76,13,1092552.9179649353
77,14,1100806.4982318878
78,15,1117129.8737897873
79,16,1105775.9998893738
80,17,1103788.839522481
81,18,1109458.7985191345
82,19,1098864.301448822
83,20,1093646.8218097687
84,21,1097324.5796108246
85,22,1104475.4441866875
86,23,1099938.7247276306
87,24,1115871.9794778824
88,25,1102183.0197472572
89,26,1111229.944335699
90,27,1096439.0822620392
91,28,1108448.683019638
92,29,1097953.401769638
93,30,1091388.346795559
94,31,1082774.598891735
95,32,1074866.683028698
96,33,1075238.522983551
97,34,1079375.334941864
98,35,1086934.947268486
99,36,1086493.5529813766
100,37,1086897.9399442673
101,38,1072094.8850212097
102,39,1073972.0891227722
103,40,1070621.0837516785
104,41,1070899.48452425
105,42,1088715.2619476318
106,43,1094729.7880706787
107,44,1098127.9980335236
108,45,1098623.3570327759
109,46,1088461.855003357
110,47,1087368.3190517426
111,48,1086157.8975180387
112,49,1082979.2979602814
113,50,1086135.587633133
114,51,1084842.9948596954
115,52,1097708.1724720001
116,53,1095585.4404258728
117,54,1090633.493481636
118,55,1102426.7482070923
119,56,1064289.42993927
120,57,1044266.1507949829
121,58,1061855.4248371124
122,59,1080591.2928390503
123,60,1097377.4703493118
124,61,1096756.7953004837
125,62,1096742.7842493677
126,0,1091090.6951753497
127,1,1086544.6124420166
128,2,1100125.9457473755
129,3,1108955.7955207825
130,4,1112668.1504619122
131,5,1111313.77334404
132,6,1118014.5141716003
133,7,1120836.7663707733
134,8,1121753.6329345703
135,9,1126397.9313278198
136,10,1124026.5813503265
137,11,1120317.7209854126
138,12,1122903.9231090546
139,13,1109678.5379753113
140,14,1107104.898121357
141,15,1105737.119190216
142,16,1094154.6592683792
143,17,1089665.865140915
144,18,1070842.7019882202
145,19,1070928.6424331665
146,20,1074837.8414287567
147,21,1073256.5819473267
148,22,1083975.3170580864
149,23,1090642.443547845
150,24,1091761.215005517
151,25,1077201.128442049
152,26,1083762.6067135334
153,27,1090159.3952636719
154,28,1095456.9062366486
155,29,1096191.4181995392
156,30,1096632.2697620392
157,31,1103018.1132678986
158,32,1094299.2602405548
159,33,1096294.7736682892
160,34,1092724.899400711
161,35,1090667.6249580383
162,36,1085839.0050849915
163,37,1082452.0331764221
164,38,1088755.3847389221
165,39,1080369.0351295471
166,40,1073951.4338111877
167,41,1073067.719455719
168,42,1080965.137424469
169,43,1094147.987033844
170,44,1092124.9120826721
171,45,1097454.428440094
172,46,1068629.6775298119
173,47,1078655.1144723892
174,48,1059407.4623727798
175,49,1052445.7475290298
176,50,1059182.7113962173
177,51,1048953.481171608
178,52,1048959.5871286392
179,53,1043142.8538017273
180,54,1057627.5234794617
181,55,1063826.8203544617
182,56,1060838.7253837585
183,57,1053764.2242355347
184,58,1058383.7534828186
185,59,1083904.0165519714
186,60,1074463.9832344055
187,61,1083752.265750885
188,62,1083752.147940905
189,0,1078120.125565052
190,1,1090228.3700065613
191,2,1087812.523270443
192,3,1084756.1698501855
193,4,1102592.042470932
194,5,1089214.6147289276
195,6,1083389.052063942
196,7,1080401.771812439
197,8,1080270.498752594
198,9,1080793.945593834
199,10,1086190.6043663025
200,11,1092028.14661026
201,12,1094485.308052063
202,13,1089361.6667060852
203,14,1094778.0719900131
204,15,1099513.068616867
205,16,1118141.5104789734
206,17,1110780.3593227863
207,18,1096035.2835826874
208,19,1085831.8455328941
209,20,1089692.4316482544
210,21,1082441.3846583366
211,22,1081245.1339120865
212,23,1079332.361691475
213,24,1104237.9635849
214,25,1102094.6574354172
215,26,1121042.3303022385
216,27,1134308.171180725
217,28,1125491.9237556458
218,29,1126325.3628406525
219,30,1133276.9543246925
220,31,1119928.568347931
221,32,1113494.4191741943
222,33,1116078.9239054918
223,34,1127131.270386815
224,35,1134601.4761638641
225,36,1136955.6892986298
226,37,1139878.1543865204
227,38,1133948.8328533173
228,39,1134897.0484294891
229,40,1141398.097990036
230,41,1146307.1822252274
231,42,1144941.2358026505
232,43,1146818.5424699783
233,44,1147367.050428152
234,45,1156556.4783992767
235,46,1161949.4806156158
236,47,1171444.126548767
237,48,1188003.600912094
238,49,1197904.7635326385
239,50,1177664.5321621895
240,51,1179200.596118331
241,52,1183393.4232559204
242,53,1180696.7736186981
243,54,1180589.531036377
244,55,1180960.26571846
245,56,1185490.79696846
246,57,1185255.519586563
247,58,1184897.6914196014
248,59,1177142.931695938
249,60,1176042.3748989105
250,61,1175125.0772151947
251,62,1175125.107178036
252,0,1182068.862247467
253,1,1173061.089565277
254,2,1173861.6924203038
255,3,1162538.2259688377
256,4,1155069.4057970047
257,5,1164015.5668697357
258,6,1157992.3206858635
259,7,1158703.56910038
260,8,1162260.9926681519
261,9,1155536.0029411316
262,10,1143088.2594957352
263,11,1153238.5547952652
264,12,1143418.6523799896
265,13,1150919.5549390316
266,14,1162583.5187149048
267,15,1167870.5975170135
268,16,1166899.3586850166
269,17,1158260.4870996475
270,18,1146699.145070076
271,19,1141199.7247424126
272,20,1143114.2223453522
273,21,1148472.0902781487
274,22,1146588.4352798462
275,23,1142949.4189815521
276,24,1131915.273496151
277,25,1139123.286532402
278,26,1146486.2246894836
279,27,1153539.0526399612
280,28,1154540.4006791115
281,29,1157487.424079895
282,30,1151154.7250909805
283,31,1147924.5799174309
284,32,1151496.2488174438
285,33,1146732.5101203918
286,34,1154796.418346405
287,35,1149526.6145586967
288,36,1151943.845005989
289,37,1147740.2602815628
290,38,1169002.83787632
291,39,1167185.2692756653
292,40,1160236.6198616028
293,41,1162870.0861574411
294,42,1159986.1441209316
295,43,1147970.14533329
296,44,1154463.2491226196
297,45,1154683.740934372
298,46,1152987.3999996185
299,47,1149507.2109012604
300,48,1159707.571931839
301,49,1159888.3664283752
302,50,1157608.8709635735
303,51,1157588.5777320862
304,52,1148476.9090180397
305,53,1148332.2511558533
306,54,1150060.9542274475
307,55,1143207.1185340881
308,56,1143628.855594635
309,57,1152791.5845832825
310,58,1153031.897327423
311,59,1169135.190495193
312,60,1154604.04860878
313,61,1152922.8364963531
314,62,1152922.6240562927
315,0,1155978.1539578438
316,1,1160782.0267162323
317,2,1158838.8431091309
318,3,1161326.0025110245
319,4,1157767.0870895386
320,5,1157687.7362308502
321,6,1143397.4030475616
322,7,1146079.2772750854
323,8,1138195.9064264297
324,9,1131469.3168811798
325,10,1142683.812297821
326,11,1141290.0390906334
327,12,1149952.9364995956
328,13,1159123.1803121567
329,14,1155352.5540657043
330,15,1153882.4747695923
331,16,1156508.6503806114
332,17,1162098.4959311485
333,18,1160936.375
334,19,1160717.6101074219
335,20,1160134.6076660156
336,21,1161005.8774414062
337,22,1160597.0227661133
338,23,1159991.0
339,24,1159991.0
340,25,1159991.0
341,26,1159616.3515625
342,27,1159464.375
343,28,1159464.375
344,29,1159464.375
345,30,1159464.375
346,31,1159464.375
347,32,1159464.375
348,33,1159416.267211914
349,34,1160012.7850341797
350,35,1159721.75
351,36,1159652.3770751953
352,37,1158544.5180664062
353,38,1158453.7622680664
354,39,1162675.7351074219
355,40,1165232.7651367188
356,41,1165141.5434570312
357,42,1163284.4755859375
358,43,1164292.3635253906
359,44,1165230.875
360,45,1168135.4406700134
361,46,1163222.501369238
362,47,1167985.542084694
363,48,1168942.0460357666
364,49,1168612.340959549
365,50,1171505.2440025806
366,51,1177003.2561473846
367,52,1174314.082060337
368,53,1169315.7322368622
369,54,1171169.0213980675
370,55,1173369.9100699425
371,56,1173281.2091035843
372,57,1169016.3048362732
373,58,1177362.1460971832
374,59,1169284.5052261353
375,60,1171433.2122879028
376,61,1175492.345407486
377,62,1175463.9546402323
378,0,1168364.7370986938
379,1,1175707.3301525116
380,2,1175139.8691711426
381,3,1174571.2241888046
382,4,1181681.5783264637
383,5,1180202.7578868866
384,6,1185549.6021499634
385,7,1183067.967145443
386,8,1185852.5428066254
387,9,1181212.5264129639
388,10,1182021.817800045
389,11,1179359.3909225464
390,12,1173500.1589279175
391,13,1170772.7270450592
392,14,1166948.9545946121
393,15,1164206.1088991165
394,16,1163041.875
395,17,1163082.9013671875
396,18,1164552.2180175781
397,19,1164599.206665039
398,20,1164474.1532821655
399,21,1165843.3302001953
400,22,1165281.0031738281
401,23,1163904.6953125
402,24,1165849.4766235352
403,25,1161601.8436279297
404,26,1159955.3618164062
405,27,1163954.2548828125
406,28,1162400.9401855469
407,29,1163818.0520706177
408,30,1149645.2431640625
409,31,1144520.3321342468
410,32,1147103.614042759
411,33,1152778.057527542
412,34,1146205.8997769356
413,35,1143836.9867801666
414,36,1145886.037097931
415,37,1142398.1317195892
416,38,1144650.4746627808
417,39,1143869.548959732
418,40,1147446.5364818573
419,41,1145703.4601325989
420,42,1137014.218757391
421,43,1145671.1497249603
422,44,1148900.3987226486
423,45,1149216.0694332123
424,46,1167273.578861177
425,47,1168592.5895023346
426,48,1170941.3964229822
427,49,1174679.0729484558
428,50,1180021.1238269806
429,51,1182226.3718738556
430,52,1186150.222503662
431,53,1180312.9725885391
432,54,1175552.5246276855
433,55,1175702.833621025
434,56,1175453.2686796188
435,57,1175832.388519287
436,58,1171932.675453186
437,59,1172319.8082351685
438,60,1173088.9354667664
439,61,1182065.6595802307
440,62,1181974.6820463904
441,0,1192608.637550354
442,1,1195814.9039344788
443,2,1195081.0262551308
444,3,1197901.7252025604
445,4,1202823.0027656555
446,5,1206746.2170658112
447,6,1209416.4238147736
448,7,1212954.9049224854
449,8,1214403.7783813477
450,9,1216767.7198066711
451,10,1219388.430568695
452,11,1222878.175994873
453,12,1227473.943435669
454,13,1228940.53298378
455,14,1257356.2153835297
456,15,1261208.629196167
457,16,1257250.7421703339
458,17,1259816.5632286072
459,18,1248725.4515361786
460,19,1248221.6958284378
461,20,1249403.3703842163
462,21,1255069.7594985962
463,22,1256091.2353668213
464,23,1251473.0431594849
465,24,1249960.8969650269
466,25,1250333.9753928185
467,26,1242484.3018798828
468,27,1240121.9662766457
469,28,1243881.7397460938
470,29,1247843.840373993
471,30,1237887.5807724
472,31,1243519.4126033783
473,32,1240293.7699279785
474,33,1245657.417312622
475,34,1255901.4182441235
476,35,1247814.3174638748
477,36,1247020.7725419998
478,37,1253283.567987442
479,38,1264757.4823673964
480,39,1273366.2534122467
481,40,1291857.1773414612
482,41,1289147.1087846756
483,42,1288059.9739198685
484,43,1285879.0196437836
485,44,1285656.263298273
486,45,1287719.053014636
487,46,1281399.8141903877
488,47,1286058.5459823608
489,48,1280294.3521529436
490,49,1284735.2232208252
491,50,1280159.5129947662
492,51,1286072.2271118164
493,52,1290716.0169639587
494,53,1289863.4310617447
495,54,1284114.0841515064
496,55,1277335.355064392
497,56,1278546.7382240295
498,57,1281357.9062957764
499,58,1285505.0785827637
500,59,1285546.7389030457
501,60,1283702.8750076294
502,61,1280719.1386795044
503,62,1280712.7382128672
504,0,1299514.7912101746
505,1,1305430.9443759918
506,2,1304125.5
507,3,1304125.5
508,4,1304125.5
509,5,1304125.5
510,6,1304125.5
511,7,1304125.5
512,8,1304125.5
513,9,1304125.5
514,10,1304125.5
515,11,1304125.5
516,12,1304125.5
517,13,1304125.5
518,14,1304125.5
519,15,1304125.5
520,16,1304125.5
521,17,1304125.5
522,18,1304125.5
523,19,1304125.5
524,20,1304125.5
525,21,1304125.5
526,22,1304125.5
527,23,1304125.5
528,24,1304125.5
529,25,1304125.5
530,26,1304125.5
531,27,1304125.5
532,28,1304125.5
533,29,1304125.5
534,30,1304125.5
535,31,1304125.5
536,32,1304125.5
537,33,1304125.5
538,34,1304125.5
539,35,1304125.5
540,36,1304125.5
541,37,1304125.5
542,38,1304125.5
543,39,1304125.5
544,40,1304125.5
545,41,1304125.5
546,42,1304125.5
547,43,1304125.5
548,44,1304125.5
549,45,1304125.5
550,46,1304125.5
551,47,1304125.5
552,48,1304125.5
553,49,1304125.5
554,50,1301635.4992675781
555,51,1302212.76953125
556,52,1301552.6547546387
557,53,1288194.7438964844
558,54,1277081.1953125
559,55,1295758.2651367188
560,56,1283716.6549682617
561,57,1283582.9096679688
562,58,1293976.6779785156
563,59,1272303.8891601562
564,60,1286162.0710449219
565,61,1296633.0705566406
566,62,1296405.741194272
567,0,1280941.248046875
568,1,1283884.0498485565
569,2,1308242.0496406555
570,3,1295226.0990486145
571,4,1316831.8901443481
572,5,1306885.2170095444
573,6,1316901.7208938599
574,7,1316822.9454629421
575,8,1323607.6779518127
576,9,1321591.6486034393
577,10,1320270.125
578,11,1320270.125
579,12,1320270.125
580,13,1320270.125
581,14,1320270.125
582,15,1320270.125
583,16,1320270.125
584,17,1320270.125
585,18,1320270.125
586,19,1320270.125
587,20,1320270.125
588,21,1320270.125
589,22,1320270.125
590,23,1320270.125
591,24,1320270.125
592,25,1320270.125
593,26,1320270.125
594,27,1320270.125
595,28,1320296.0727539062
596,29,1320100.125
597,30,1319671.3832702637
598,31,1322364.5434570312
599,32,1317931.7104492188
600,33,1319086.1594238281
601,34,1317395.3920898438
602,35,1316769.24609375
603,36,1302090.65234375
604,37,1312968.8782653809
605,38,1303083.5920410156
606,39,1310468.7087402344
607,40,1321943.8505859375
