Step,Value 28,Value 30,Value 32,Value 31 ,Value 33
492,2.088806152,2.241247177,3.117996693,1.299034595,1.678926229
979,4.476913452,4.52357769,5.011091232,4.100383282,4.299800873
1466,4.508770943,4.588873863,5.002908707,4.130712986,4.242642403
1953,4.537651062,4.588088512,4.987879276,4.143454552,4.23747015
2440,4.548818588,4.591314316,5.008625507,4.092474937,4.237410069
2927,4.567896843,4.596728325,5.028443813,4.083502769,4.219307423
3414,4.573984623,4.598171234,5.027094364,4.079030514,4.196095467
3901,4.569093704,4.613118172,5.001813412,4.084055901,4.185513973
4388,4.576829433,4.626002789,5.001142979,4.070705414,4.156510353
4875,4.589971066,4.629777431,5.004347801,4.061748028,4.138087749
5362,4.598338604,4.643779278,5.010897636,4.055569172,4.130532742
5849,4.591892242,4.644325256,5.008471012,4.059291363,4.132147312
6336,4.59398222,4.651387215,5.008378506,4.053496838,4.130519867
6823,4.602788925,4.661010265,5.004581451,4.057423115,4.146893501
7310,4.606393814,4.677194595,5.008671284,4.058206558,4.155003548
7797,4.607404709,4.68294239,5.017313957,4.046943665,4.152394772
8284,4.602487564,4.678627491,5.018767834,4.037779331,4.148705006
8771,4.605849743,4.679625511,5.016799927,4.038059711,4.142466068
9258,4.612401009,4.674939156,5.018861294,4.030786037,4.13084507
9745,4.615323067,4.673141003,5.022507668,4.02382803,4.129243374
10232,4.615099907,4.67124939,5.020420551,4.029736996,4.130606651
10719,4.611636639,4.670193195,5.019300461,4.038514137,4.13622427
11206,4.610705853,4.672088146,5.018586159,4.03572607,4.136562347
11693,4.612410545,4.674777985,5.014897823,4.039653301,4.133117199
12180,4.617659092,4.674487114,5.015188694,4.038735867,4.13533783
12667,4.623868465,4.678517342,5.011817932,4.036351681,4.143339634
13154,4.627680779,4.679691315,5.009282589,4.038531303,4.146988869
13641,4.630861759,4.680183887,5.00780201,4.039147854,4.140715599
14128,4.634095192,4.685997009,5.005746841,4.037761211,4.145437241
14615,4.63815403,4.688917637,5.010056496,4.032702446,4.141757011
15102,4.637477875,4.687627316,5.011608124,4.030215263,4.141644001
15589,4.638011932,4.690157413,5.011397362,4.030303478,4.142715931
16076,4.638127327,4.691964149,5.010134697,4.032992363,4.146373749
16563,4.638194561,4.692325115,5.014015675,4.034591675,4.148462296
17050,4.638822556,4.693399906,5.015929699,4.038652897,4.150323391
17537,4.636383533,4.693940639,5.018591881,4.041849613,4.150020599
18024,4.635636806,4.693632126,5.021507263,4.041994095,4.147686005
18511,4.636365891,4.694696426,5.023565292,4.042676926,4.146609306
18998,4.637360573,4.694541454,5.024420738,4.042359352,4.145879745
19485,4.637052059,4.693698406,5.024657726,4.042978287,4.147184372
19972,4.634297848,4.694876671,5.023226738,4.04042244,4.146974087
20459,4.636888981,4.696660519,5.021960258,4.035202503,4.145066261
20946,4.638122559,4.699706554,5.019729614,4.029867649,4.143908024
21433,4.638672352,4.699275017,5.019375801,4.028067589,4.143023491
21920,4.638877392,4.69950676,5.0194664,4.028954983,4.140003681
22407,4.638401031,4.70166254,5.020956993,4.03371191,4.137710571
22894,4.638608456,4.702265263,5.021914005,4.036886692,4.136070251
23381,4.636819839,4.703939438,5.022637844,4.03781414,4.137355804
23868,4.635560513,4.705189705,5.022133827,4.033788681,4.140229702
24355,4.636769772,4.705469131,5.020926476,4.030861855,4.141183376
24842,4.640212059,4.704525471,5.020648956,4.025479317,4.143877983
25329,4.638511181,4.705081463,5.020166397,4.022243023,4.144433975
25816,4.638213158,4.704716682,5.018958092,4.024136543,4.141783237
26303,4.637431145,4.70561552,5.017152786,4.025278568,4.144208955
26790,4.63713932,4.70568943,5.017008236,4.021847057,4.144844722
27277,4.63713789,4.705460072,5.016166568,4.020596122,4.144804891
27764,4.637085438,4.70537281,5.015324899,4.019345187,4.144116256
28251,4.636933327,4.705532855,5.01448323,4.018094252,4.144752023
28738,4.6377635,4.705592309,5.013641562,4.016843318,4.14438779
29225,4.639149666,4.705651763,5.012799893,4.015592383,4.144023557
30000,4.639410496,4.705711216,5.011958224,4.014341448,4.144659324
