,index,balance
0,0,999232.9262695312
1,1,994048.41015625
2,2,983785.2568359375
3,3,979180.65234375
4,4,982554.0625
5,5,985743.78515625
6,6,962448.8085454702
7,7,973673.0956548452
8,8,951438.7069829702
9,9,951043.9765142202
10,10,934385.3632329702
11,11,939280.2245610952
12,12,957366.3739751577
13,13,943344.9550298452
14,14,958825.5839360952
15,15,950114.9081548452
16,16,956386.2362798452
17,17,981572.3241704702
18,18,979617.3964360952
19,19,967918.5546392202
20,20,977948.3690923452
21,21,983481.4413579702
22,22,971249.5214360952
23,23,958051.7108892202
24,24,960137.8378423452
25,25,954809.6913579702
26,26,939525.4511235952
27,27,960152.8808110952
28,28,972174.1698735952
29,29,986782.6698735952
30,30,985726.0722173452
31,31,985379.9237798452
32,32,997625.3827642202
33,33,986587.7245610952
34,34,992742.5077642202
35,35,1007098.0292485952
36,36,1003314.8788579702
37,37,995772.7147954702
38,38,1017114.8690923452
39,39,1018151.2792485952
40,40,1020814.3612798452
41,41,1024352.6386235952
42,42,1022155.7968267202
43,43,1016822.6308110952
44,44,1019478.9804204702
45,45,1018342.5819829702
46,46,1033317.9394048452
47,47,1031909.2753423452
48,48,1033615.6112798452
49,49,1038782.0019048452
50,50,1048773.5526860952
51,51,1054535.3632329702
52,52,1054569.8749517202
53,53,1050988.7987798452
54,54,1048358.9101079702
55,55,1050083.3358892202
56,56,1052550.2479985952
57,57,1058835.7167485952
58,58,1065477.8788579702
59,59,1064963.4140142202
60,60,1075136.3026860952
61,61,1073079.4921392202
62,62,1073079.4835368348
63,0,1068890.4184465408
64,1,1056878.7087333202
65,2,1058858.786846161
66,3,1057843.5385074615
67,4,1066574.3168705702
68,5,1075420.8893022537
69,6,1076424.4570922852
70,7,1077259.5652160645
71,8,1084619.9984207153
72,9,1076712.5171699524
73,10,1076133.4547462463
74,11,1076960.2385749817
75,12,1076541.3605308533
76,13,1075157.3381843567
77,14,1074684.6506080627
78,15,1079376.727092743
79,16,1064870.5452156067
80,17,1063096.4284210205
81,18,1070128.715686798
82,19,1059468.7161560059
83,20,1055789.1851387024
84,21,1056694.402015686
85,22,1061963.2561531067
86,23,1060881.862247467
87,24,1075664.582874298
88,25,1064273.0852966309
89,26,1065468.8226394653
90,27,1053798.2428741455
91,28,1065248.88256073
92,29,1052266.10521698
93,30,1051323.459827423
94,31,1042107.0715446472
95,32,1046578.5821685791
96,33,1047386.592716217
97,34,1061244.088733673
98,35,1069862.1292762756
99,36,1067858.6138877869
100,37,1070347.3127174377
101,38,1065711.7503700256
