,0
0,-5269.675126516959
1,1299.2979121326935
2,-127.22214626241475
3,-811.1810497173574
4,847.1488863104023
5,-3234.6517633786425
6,-5514.6300509069115
7,10503.147496004123
8,-14435.65988357435
9,-4475.638471289771
10,9048.588152782759
11,-2555.93670254224
12,12163.224804281956
13,21678.82624406088
14,-3265.4208388144616
15,-1438.334193883231
16,-4331.159334736178
17,1024.9992395348381
18,-611.5440619441215
19,1653.0515964266378
20,-2058.2412274794187
21,1690.9916271129623
22,-1300.2730813308153
23,-2645.8258313562255
24,3502.9891944967676
25,-1079.596416408429
26,-890.9752800264396
27,8178.678974060342
28,605.3113744060975
29,-18118.393162268447
30,589.1557297608815
31,10196.800461554434
32,3206.2616722080857
33,4898.478277571034
34,6036.143367699813
35,6616.692571321735
36,1159.3471513311379
37,-2451.58700193651
38,1343.5726680532098
39,10149.033248671098
40,4152.166791588301
41,-3036.7785161326174
42,-6987.657653354108
43,317.4700814241078
44,1232.665397591656
45,5108.206571344519
46,-7661.641287166858
47,5811.9739717240445
48,2422.9175136985723
49,3200.592529798625
50,5107.486306085717
51,6294.66437051259
52,-107.1360937897116
53,-10753.5796780854
54,2916.0575407987926
55,1266.6342105721124
56,-497.573614457855
57,-3930.245046044234
58,13609.597183283186
59,-10527.73240180104
60,5819.330816260772
61,558.0623342015315
