,0
0,1216243.3841209412
1,1256327.141665056
2,1257626.4395771888
3,1257499.2174309264
4,1256688.036381209
5,1257535.1852675194
6,1254300.5335041408
7,1248785.903453234
8,1259289.050949238
9,1244853.3910656637
10,1240377.752594374
11,1249426.3407471566
12,1246870.4040446144
13,1259033.6288488964
14,1280712.4550929572
15,1277447.0342541428
16,1276008.7000602596
17,1271677.5407255234
18,1272702.5399650582
19,1272090.995903114
20,1273744.0474995407
21,1271685.8062720613
22,1273376.7978991743
23,1272076.5248178435
24,1269430.6989864872
25,1272933.688180984
26,1271854.0917645756
27,1270963.1164845491
28,1279141.7954586095
29,1279747.1068330156
30,1261628.7136707471
31,1262217.869400508
32,1272414.6698620624
33,1275620.9315342705
34,1280519.4098118416
35,1286555.5531795414
36,1293172.245750863
37,1294331.5929021942
38,1291880.0059002577
39,1293223.578568311
40,1303372.611816982
41,1307524.7786085703
42,1304488.0000924377
43,1297500.3424390836
44,1297817.8125205077
45,1299050.4779180994
46,1304158.684489444
47,1296497.043202277
48,1302309.017174001
49,1304731.9346876997
50,1307932.5272174983
51,1313040.013523584
52,1319334.6778940966
53,1319227.5418003069
54,1308473.9621222215
55,1311390.0196630203
56,1312656.6538735924
57,1312159.0802591345
58,1308228.8352130903
59,1321838.4323963735
60,1311310.6999945724
61,1317130.0308108332
62,1317688.0931450347
