,0
0,1000000.0
1,999877.0739721749
2,999901.9542914431
3,996763.7334917915
4,996942.4978296149
5,994877.7392012856
6,989787.8558789494
7,988478.4631515752
8,982518.1723994459
9,981530.4828235221
10,983469.0527970213
11,968241.3510144216
12,979338.5392026964
13,979734.6119932488
14,980805.8444964706
15,981705.7723440784
16,986483.9388124455
17,999958.1772980836
18,988695.8584132909
19,980556.4408894652
20,978662.352315
21,984134.7119041092
22,981222.6859229791
23,987634.7233669423
24,997819.671474943
25,998230.6519823524
26,975047.1386977825
27,980981.8875105733
28,982374.536321735
29,978452.996594168
30,952079.9390597239
31,951409.9341232232
32,948534.655601183
33,941501.0706622939
34,915131.3276311504
35,938016.3267763492
36,926591.1188184938
37,915011.8026635132
38,908315.8928940307
39,882767.3065964492
40,876802.9894201132
41,890375.6405516665
42,866273.3657429684
43,864147.1187176609
44,853643.9105030426
45,895414.1552889048
46,905557.1274509329
47,926653.4307786943
48,932829.2519860286
49,928130.2402766622
50,949987.874473544
51,962591.2639173757
52,943182.8855854048
53,929450.8456831921
54,983410.5626270521
55,969483.3192182474
56,981129.2057385751
57,997671.901099645
58,979523.9301673617
59,951544.220406066
60,967687.5852222423
61,987212.8860719277
62,1016250.8546770788
63,1026574.7242746077
64,1028916.1747189697
65,1013431.3265499162
66,1013187.3218650612
67,1055770.9074012055
68,1057073.6250553683
69,1023029.0058798289
70,1046990.0956137688
71,1060373.1573308525
72,1062327.3538968754
73,1029122.6534883368
74,1047573.2569575398
75,1034111.8308270646
76,1045996.1380964771
77,1056001.0715002082
78,1053707.2054790657
79,1055221.3578175262
80,1072694.7428616884
81,1066197.9524977638
82,1064869.379635922
83,1098217.6891994658
84,1099197.2187619205
85,1110914.245577407
86,1102738.1169759291
87,1127154.178205632
88,1103189.8165279347
89,1103760.4569995096
90,1080829.8452730696
91,1095160.3696213576
92,1089253.4043054238
93,1122904.5473660845
94,1114457.8734226609
95,1111182.2855431293
96,1098184.0794856192
97,1097856.1317123526
98,1132236.2939099164
99,1110498.0403529834
100,1124022.420283301
101,1131729.8295704976
102,1160857.1902864657
103,1163912.6210360557
104,1160492.8769594848
105,1166707.6181380125
106,1170660.9399218115
107,1165024.9946020974
108,1162856.5189578957
109,1153463.8122111289
110,1142660.5068826836
111,1145525.6037119413
112,1124920.0272918353
113,1117071.2954477286
114,1115512.5362947097
115,1133124.6646385572
116,1132681.6107490784
117,1105920.0030557362
118,1099992.2547207845
119,1098319.8361214607
120,1117576.9435867171
121,1113913.107986436
122,1124741.7938108556
123,1115863.9498020362
124,1124720.501355162
125,1095542.9101855704
126,1108563.8989809356
127,1094513.9467483214
128,1097511.5968388603
129,1097094.3256812037
130,1097980.6069590268
131,1121070.3574316462
132,1123096.3771369124
133,1155966.8228231787
134,1170002.3116401336
135,1172097.240124296
136,1182882.6736974767
137,1184832.0550088931
138,1185031.18020025
139,1201160.9597226095
140,1203838.0561388596
141,1200523.3780207748
142,1206109.8894267373
143,1205699.2429074475
144,1214169.806104723
145,1210802.484482499
146,1218307.72969114
147,1217429.9757577353
148,1211547.0409313056
149,1207339.2742197507
150,1228316.8939245902
151,1227911.1076539129
152,1219962.809534674
153,1232410.7147507262
154,1242265.0121485402
155,1234064.1078992498
156,1213194.2546481516
157,1226513.2455427719
158,1233067.6207382304
159,1244490.27436616
160,1258100.9641680757
161,1259076.7867103466
162,1262097.8348050301
163,1260759.8241849567
164,1268142.7713902383
165,1263254.0204199562
166,1256820.6341554024
167,1230571.430119241
168,1234594.56985009
169,1244374.3365668782
170,1254764.0878519276
171,1262909.7917062158
172,1268226.1610709222
173,1287872.5403518125
174,1284338.4293936172
175,1280285.6270116563
176,1281726.9971098616
177,1310045.6155380835
178,1310004.2590719152
179,1314116.504618669
180,1303051.9104894712
181,1302078.2520000706
182,1291523.7681404976
183,1291693.765499252
184,1280136.270776615
185,1299638.5474350974
186,1293962.750620777
187,1293842.9284818284
188,1268578.2295567652
189,1270645.6029560817
190,1278303.556538568
191,1293196.5488082168
192,1300768.0268167136
193,1308759.5176603615
194,1311322.8910108644
195,1313767.1230009934
196,1308645.025487518
197,1318431.2597113205
198,1325190.1371457167
199,1321741.8394444236
200,1338332.837313169
201,1341794.1279919527
202,1332710.58938925
203,1351649.1714477837
204,1328443.5866819257
205,1321162.4418284807
206,1330930.9024945316
207,1307752.5767464524
208,1344485.8469656685
209,1307866.961114113
210,1324962.547270183
211,1326953.504198568
212,1339459.7581254442
213,1376514.9146086196
214,1374127.0495362126
215,1408946.3777697512
216,1415979.9143835928
217,1427323.2419182567
218,1413893.5190815332
219,1435507.055266633
220,1453440.7042495755
221,1452721.7550001182
222,1453668.3897196942
223,1442481.1066439725
224,1439891.4321989818
225,1461353.552906553
226,1460536.6180520242
227,1466233.046411733
228,1447449.544483214
229,1450599.3487379178
230,1451707.8074637519
231,1445535.1738418115
232,1415183.9507592702
233,1418480.9668255737
234,1424140.8515151876
235,1414755.3313019674
236,1426570.7697400502
237,1444521.266978503
238,1453640.3532071644
239,1462873.8979587795
240,1458550.9112986596
241,1462593.3776738297
242,1439697.5744137904
243,1443194.535682081
244,1457847.6593959457
245,1463870.7349837215
246,1461891.580286373
247,1472419.2477608332
248,1467558.796521161
249,1466960.9292138717
250,1467496.1399311677
251,1454248.1163353901
252,1467777.8206137267
253,1461900.2882641098
254,1463515.2768950183
255,1472368.6891365577
256,1467309.6278997674
257,1466465.655443597
258,1469777.0531190033
259,1480409.9484186063
260,1483290.918348439
261,1470196.6804167542
262,1494599.870152091
263,1483764.0041841036
264,1455752.615896797
265,1411317.8367998202
266,1407467.645361989
267,1412276.3482579254
268,1421154.28032541
269,1399580.2598092223
270,1399667.845640568
271,1409984.8838718447
272,1428660.526303666
273,1428567.5040844262
274,1391854.9187407515
275,1397407.8777627058
276,1380004.7713961918
277,1401456.0445132575
278,1401643.3674955142
279,1413551.2712378344
280,1409807.8339850486
281,1432865.3511146086
282,1436492.9542207234
283,1438994.4841387474
284,1434920.9261701126
285,1436801.2236968095
286,1418109.2149250058
287,1435275.6643056197
288,1425242.3046217302
289,1427657.4320001663
290,1433868.8063062208
291,1436728.9603106156
292,1437358.8811182536
293,1449138.858382087
294,1477903.8021969814
295,1469126.2561165735
296,1470767.7963561784
297,1470449.1654022825
298,1478965.5648550598
299,1483017.923252743
300,1488892.7748825685
301,1497294.8644470063
302,1497332.3073360259
303,1501413.952823602
304,1493732.1839475054
305,1502830.9050096348
306,1511608.9338265648
307,1505460.025253418
308,1514796.0344931583
309,1512410.8864452404
310,1519351.5005909037
311,1521153.6689883708
312,1516263.1319666754
313,1527711.6907368344
314,1538431.580260834
315,1545091.1800398142
316,1530778.5525263883
317,1548211.6817717613
318,1554897.5245679717
319,1561854.2327025486
320,1566270.9897930748
321,1584650.0465951774
322,1583491.940959501
323,1562349.0884856272
324,1577136.2961630607
325,1580076.0509567503
